"","country","city","date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30"
"1","belgium","antwerp","2020-05-27",50904,"Historisch Centrum",51.21858,4.3985,"Boutique hotel","Hotel room",2,1,1,145,1,60,18
"2","belgium","antwerp","2020-05-27",116134,"Eilandje",51.23051,4.40593,"Apartment","Entire home/apt",4,2,2,150,2,30,26
"3","belgium","antwerp","2020-05-27",224333,"Deurne Zuid West",51.19772,4.45853,"House","Private room",2,1,1,16,14,365,0
"4","belgium","antwerp","2020-05-27",224682,"Sint-Andries",51.21722,4.3979,"Apartment","Entire home/apt",3,1,2,105,2,30,30
"5","belgium","antwerp","2020-05-27",328911,"Stadspark",51.21078,4.4105,"Apartment","Entire home/apt",2,1,1,55,15,365,0
"6","belgium","antwerp","2020-05-27",345959,"Markgrave",51.19935,4.40154,"Apartment","Entire home/apt",3,2,2,45,3,90,23
"7","belgium","antwerp","2020-05-27",366252,"Borgerhout Intra Muros Noord",51.21601,4.43432,"Apartment","Private room",2,1,1,31,1,365,30
"8","belgium","antwerp","2020-05-27",445201,"Borgerhout Intra Muros Noord",51.21579,4.43265,"Apartment","Private room",1,2,0,30,5,365,30
"9","belgium","antwerp","2020-05-27",465282,"Harmonie",51.2014,4.40649,"Apartment","Entire home/apt",1,1,1,48,2,1125,0
"10","belgium","antwerp","2020-05-27",522693,"Historisch Centrum",51.22001,4.39813,"Apartment","Entire home/apt",4,1,2,195,2,21,0
"11","belgium","antwerp","2020-05-27",553618,"Eilandje",51.23183,4.40478,"Loft","Entire home/apt",2,1,1,150,2,1125,0
"12","belgium","antwerp","2020-05-27",569956,"Historisch Centrum",51.22397,4.40464,"Apartment","Entire home/apt",2,1,1,60,2,31,0
"13","belgium","antwerp","2020-05-27",573641,"Hoogte",51.18187,4.39381,"Apartment","Entire home/apt",2,1,1,98,3,90,29
"14","belgium","antwerp","2020-05-27",575935,"Hoogte",51.18152,4.39463,"Apartment","Private room",4,2,2,60,2,200,30
"15","belgium","antwerp","2020-05-27",603545,"Harmonie",51.20753,4.40589,"Loft","Entire home/apt",2,1,1,150,2,365,22
"16","belgium","antwerp","2020-05-27",636664,"Borgerhout Intra Muros Zuid",51.21618,4.43037,"Apartment","Entire home/apt",5,2,3,85,2,365,0
"17","belgium","antwerp","2020-05-27",639013,"Borgerhout Intra Muros Noord",51.21748,4.4456,"Townhouse","Private room",2,1,1,85,2,4,0
"18","belgium","antwerp","2020-05-27",685049,"Oud - Berchem",51.19589,4.41443,"House","Private room",3,1,1,65,2,21,0
"19","belgium","antwerp","2020-05-27",685053,"Oud - Berchem",51.19482,4.41339,"House","Private room",3,1,2,120,2,1125,0
"20","belgium","antwerp","2020-05-27",723033,"Stadspark",51.20955,4.41481,"Apartment","Entire home/apt",6,1,6,60,2,30,0
"21","belgium","antwerp","2020-05-27",746729,"Markgrave",51.19536,4.40806,"House","Private room",4,2,3,75,1,5,30
"22","belgium","antwerp","2020-05-27",772842,"Linkeroever",51.21775,4.38434,"Loft","Entire home/apt",2,1,1,75,7,1125,0
"23","belgium","antwerp","2020-05-27",778043,"Stadspark",51.20399,4.41249,"Apartment","Entire home/apt",2,1,1,65,2,21,18
"24","belgium","antwerp","2020-05-27",789555,"Centraal Station",51.2117,4.42665,"Apartment","Entire home/apt",4,1,1,93,2,1125,4
"25","belgium","antwerp","2020-05-27",813969,"Zuid",51.21264,4.39098,"Apartment","Entire home/apt",6,2,3,177,1,365,19
"26","belgium","antwerp","2020-05-27",842077,"Amandus - Atheneum",51.2215,4.42606,"House","Private room",7,1,4,40,1,365,30
"27","belgium","antwerp","2020-05-27",866701,"Amandus - Atheneum",51.2215,4.42606,"House","Private room",7,1,4,40,1,365,30
"28","belgium","antwerp","2020-05-27",890384,"Centraal Station",51.21198,4.4269,"House","Entire home/apt",4,2,4,150,7,1125,0
"29","belgium","antwerp","2020-05-27",891355,"Universiteitsbuurt",51.22043,4.40562,"Townhouse","Private room",2,1,1,85,1,14,25
"30","belgium","antwerp","2020-05-27",891884,"Historisch Centrum",51.21874,4.39835,"Boutique hotel","Hotel room",2,1,1,150,1,1125,18
"31","belgium","antwerp","2020-05-27",891907,"Historisch Centrum",51.21825,4.39901,"Apartment","Entire home/apt",4,2,2,180,2,366,18
"32","belgium","antwerp","2020-05-27",959200,"Borgerhout Intra Muros Noord",51.21596,4.43764,"Apartment","Entire home/apt",2,1,1,48,2,30,12
"33","belgium","antwerp","2020-05-27",961296,"Borgerhout Intra Muros Noord",51.21531,4.44498,"House","Entire home/apt",10,5,5,340,2,30,20
"34","belgium","antwerp","2020-05-27",991824,"Deurne Zuid West",51.20316,4.46015,"Apartment","Entire home/apt",5,3,5,77,1,1125,30
"35","belgium","antwerp","2020-05-27",1038791,"Universiteitsbuurt",51.22252,4.40751,"Apartment","Entire home/apt",2,1,2,62,2,1125,0
"36","belgium","antwerp","2020-05-27",1050693,"Deurne Zuid West",51.20316,4.46015,"Apartment","Entire home/apt",5,3,5,77,1,1125,30
"37","belgium","antwerp","2020-05-27",1105318,"Zuid",51.21024,4.39995,"Apartment","Entire home/apt",2,1,2,75,2,1125,30
"38","belgium","antwerp","2020-05-27",1108491,"Amandus - Atheneum",51.2215,4.42606,"House","Private room",2,1,4,40,1,365,29
"39","belgium","antwerp","2020-05-27",1138959,"Zurenborg",51.20755,4.43175,"House","Private room",2,1,1,35,5,1125,0
"40","belgium","antwerp","2020-05-27",1146375,"Borgerhout Intra Muros Noord",51.21751,4.4298,"Apartment","Entire home/apt",6,2,3,55,1,1125,20
"41","belgium","antwerp","2020-05-27",1159039,"Markgrave",51.19329,4.41189,"Apartment","Entire home/apt",2,1,1,69,2,1121,15
"42","belgium","antwerp","2020-05-27",1172376,"Zuid",51.21026,4.40138,"Apartment","Entire home/apt",2,1,2,80,1,1125,30
"43","belgium","antwerp","2020-05-27",1172826,"Deurne Zuid West",51.19813,4.45807,"House","Private room",2,1,1,16,7,365,19
"44","belgium","antwerp","2020-05-27",1184623,"Eilandje",51.23133,4.41015,"Loft","Entire home/apt",6,2,2,175,2,1125,18
