"","id","neighbourhood_cleansed","city","country","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","date","revenue_30"
"1",28925,"Centre ville (Bordeaux)","bordeaux","france",44.8491,-0.5935,"House","Entire home/apt",12,5,13,24,2,21,0,"2020-07-25",720
"2",185534,"Saint Augustin - Tauzin - Alphonse Dupeux","bordeaux","france",44.83063,-0.59331,"House","Entire home/apt",6,3,3,125,4,15,29,"2020-07-25",125
"3",218103,"Bgles","bordeaux","france",44.81418,-0.54842,"Apartment","Entire home/apt",4,1,1,110,2,21,6,"2020-07-25",2640
"4",222887,"Bordeaux Sud","bordeaux","france",44.83611,-0.5664,"Apartment","Entire home/apt",4,2,3,145,3,90,8,"2020-07-25",3190
"5",317273,"Chartrons - Grand Parc - Jardin Public","bordeaux","france",44.84782,-0.58105,"Apartment","Entire home/apt",3,1,2,135,3,90,16,"2020-07-25",1890
"6",317658,"Centre ville (Bordeaux)","bordeaux","france",44.83882,-0.56887,"Apartment","Entire home/apt",6,2,4,155,3,90,0,"2020-07-25",4650
"7",333031,"Centre ville (Bordeaux)","bordeaux","france",44.84267,-0.57656,"Apartment","Entire home/apt",2,0,1,79,1,1125,20,"2020-07-25",790
"8",365993,"Bgles","bordeaux","france",44.81149,-0.55825,"Apartment","Entire home/apt",6,2,3,85,5,30,0,"2020-07-25",2550
"9",400306,"La Bastide","bordeaux","france",44.8439,-0.55831,"Condominium","Entire home/apt",2,1,1,59,2,1125,0,"2020-07-25",1770
"10",403245,"Bordeaux Sud","bordeaux","france",44.83385,-0.57033,"Apartment","Entire home/apt",3,1,2,59,2,31,0,"2020-07-25",1770
"11",408270,"Bgles","bordeaux","france",44.81412,-0.54641,"Apartment","Entire home/apt",4,1,1,90,2,21,3,"2020-07-25",2430
"12",410267,"Bgles","bordeaux","france",44.81494,-0.54799,"Apartment","Entire home/apt",4,1,1,90,2,21,9,"2020-07-25",1890
"13",412475,"Bgles","bordeaux","france",44.81428,-0.54875,"Apartment","Entire home/apt",4,1,1,90,2,21,3,"2020-07-25",2430
"14",437127,"Chartrons - Grand Parc - Jardin Public","bordeaux","france",44.85636,-0.58518,"Apartment","Private room",2,1,1,45,2,1125,0,"2020-07-25",1350
"15",438600,"Chartrons - Grand Parc - Jardin Public","bordeaux","france",44.85575,-0.5824,"Apartment","Private room",1,1,1,30,2,1125,7,"2020-07-25",690
"16",450324,"Plaisance-Loret-Maregue","bordeaux","france",44.86238,-0.50698,"House","Entire home/apt",5,4,4,110,2,1125,0,"2020-07-25",3300
"17",457462,"Talence","bordeaux","france",44.80935,-0.59991,"Apartment","Entire home/apt",4,2,2,75,2,21,0,"2020-07-25",2250
"18",457640,"Talence","bordeaux","france",44.80907,-0.60034,"Apartment","Entire home/apt",4,2,2,80,2,30,7,"2020-07-25",1840
"19",458580,"Bordeaux Sud","bordeaux","france",44.83424,-0.57022,"Apartment","Entire home/apt",4,1,2,35,28,300,0,"2020-07-25",1050
"20",482102,"Le Bouscat","bordeaux","france",44.85446,-0.59562,"Townhouse","Entire home/apt",12,6,7,185,2,21,12,"2020-07-25",3330
"21",500193,"Bordeaux Sud","bordeaux","france",44.83118,-0.5628,"Apartment","Entire home/apt",4,2,2,100,2,14,13,"2020-07-25",1700
"22",543460,"Saint Augustin - Tauzin - Alphonse Dupeux","bordeaux","france",44.82761,-0.59472,"Bed and breakfast","Private room",2,1,1,110,1,1125,0,"2020-07-25",3300
"23",545440,"Chartrons - Grand Parc - Jardin Public","bordeaux","france",44.85657,-0.57796,"House","Entire home/apt",5,2,2,200,2,30,0,"2020-07-25",6000
"24",548827,"Centre ville (Bordeaux)","bordeaux","france",44.83949,-0.57233,"Bed and breakfast","Private room",2,1,1,110,1,6,2,"2020-07-25",3080
"25",557526,"Talence","bordeaux","france",44.81216,-0.59949,"Apartment","Entire home/apt",3,2,1,79,3,21,0,"2020-07-25",2370
"26",558936,"Chartrons - Grand Parc - Jardin Public","bordeaux","france",44.85385,-0.57186,"Apartment","Entire home/apt",8,4,4,130,1,125,24,"2020-07-25",780
"27",568013,"Bordeaux Sud","bordeaux","france",44.8337,-0.56805,"House","Entire home/apt",7,3,6,90,4,21,0,"2020-07-25",2700
"28",582745,"Le Bouscat","bordeaux","france",44.86363,-0.60591,"House","Entire home/apt",8,3,5,150,2,1125,11,"2020-07-25",2850
"29",599263,"Centre ville (Bordeaux)","bordeaux","france",44.83828,-0.5762,"Apartment","Entire home/apt",4,2,2,120,3,20,10,"2020-07-25",2400
"30",648539,"Bordeaux Sud","bordeaux","france",44.83103,-0.56652,"Apartment","Entire home/apt",4,1,1,29,30,1125,10,"2020-07-25",580
"31",656926,"Bordeaux Sud","bordeaux","france",44.83421,-0.56205,"House","Private room",2,2,2,50,2,6,30,"2020-07-25",0
"32",667763,"Centre ville (Bordeaux)","bordeaux","france",44.83703,-0.56795,"Apartment","Entire home/apt",2,1,1,99,30,300,0,"2020-07-25",2970
"33",670292,"Saint Augustin - Tauzin - Alphonse Dupeux","bordeaux","france",44.82984,-0.58893,"Apartment","Entire home/apt",2,1,1,70,3,1125,17,"2020-07-25",910
"34",675853,"Bordeaux Sud","bordeaux","france",44.83266,-0.56264,"Apartment","Entire home/apt",4,3,2,100,2,30,7,"2020-07-25",2300
"35",709326,"Caudran","bordeaux","france",44.83948,-0.61874,"House","Private room",2,1,1,60,2,30,0,"2020-07-25",1800
"36",717608,"La Bastide","bordeaux","france",44.84173,-0.54901,"House","Entire home/apt",6,3,3,210,5,30,0,"2020-07-25",6300
"37",724856,"Saint Augustin - Tauzin - Alphonse Dupeux","bordeaux","france",44.83165,-0.59787,"House","Private room",2,1,1,45,2,1125,0,"2020-07-25",1350
"38",749334,"Bordeaux Sud","bordeaux","france",44.83393,-0.56643,"Apartment","Entire home/apt",2,1,NA,25,14,30,0,"2020-07-25",750
"39",752422,"Centre ville (Bordeaux)","bordeaux","france",44.84655,-0.58042,"Apartment","Entire home/apt",3,1,1,50,5,90,0,"2020-07-25",1500
"40",765240,"Centre ville (Bordeaux)","bordeaux","france",44.84344,-0.57748,"Apartment","Entire home/apt",4,2,3,210,3,28,10,"2020-07-25",4200
"41",776808,"Nansouty - Saint Gens","bordeaux","france",44.8256,-0.58388,"Bed and breakfast","Private room",2,1,1,80,2,15,0,"2020-07-25",2400
