"","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","country","city","date","revenue_30"
"1",28925,"Centre ville (Bordeaux)",44.8491,-0.5935,"Entire house","Entire home/apt",12,5,13,350,2,21,0,"france","bordeaux","2020-08-29",10500
"2",185534,"Saint Augustin - Tauzin - Alphonse Dupeux",44.83063,-0.59331,"Entire house","Entire home/apt",6,3,3,139,4,15,1,"france","bordeaux","2020-08-29",4031
"3",218103,"Bgles",44.81418,-0.54842,"Entire apartment","Entire home/apt",4,1,0,110,2,21,22,"france","bordeaux","2020-08-29",880
"4",222887,"Bordeaux Sud",44.83611,-0.5664,"Entire apartment","Entire home/apt",4,2,3,159,3,90,7,"france","bordeaux","2020-08-29",3657
"5",317273,"Chartrons - Grand Parc - Jardin Public",44.84782,-0.58105,"Entire apartment","Entire home/apt",3,1,2,116,3,90,0,"france","bordeaux","2020-08-29",3480
"6",317658,"Centre ville (Bordeaux)",44.83882,-0.56887,"Entire apartment","Entire home/apt",6,2,4,174,3,90,1,"france","bordeaux","2020-08-29",5046
"7",333031,"Centre ville (Bordeaux)",44.84267,-0.57656,"Entire apartment","Entire home/apt",2,NA,1,79,1,1125,29,"france","bordeaux","2020-08-29",79
"8",333592,"Centre ville (Bordeaux)",44.84701,-0.58249,"Entire apartment","Entire home/apt",2,1,1,90,2,31,18,"france","bordeaux","2020-08-29",1080
"9",365993,"Bgles",44.81149,-0.55825,"Entire apartment","Entire home/apt",6,2,3,85,5,30,0,"france","bordeaux","2020-08-29",2550
"10",400306,"La Bastide",44.8439,-0.55831,"Entire condominium","Entire home/apt",2,1,1,61,2,1125,0,"france","bordeaux","2020-08-29",1830
"11",403245,"Bordeaux Sud",44.83385,-0.57033,"Entire apartment","Entire home/apt",3,1,2,70,2,31,0,"france","bordeaux","2020-08-29",2100
"12",408270,"Bgles",44.81412,-0.54641,"Entire apartment","Entire home/apt",4,1,1,90,2,21,0,"france","bordeaux","2020-08-29",2700
"13",410267,"Bgles",44.81494,-0.54799,"Entire apartment","Entire home/apt",4,1,1,90,2,21,16,"france","bordeaux","2020-08-29",1260
"14",412475,"Bgles",44.81428,-0.54875,"Entire apartment","Entire home/apt",4,1,1,90,2,21,19,"france","bordeaux","2020-08-29",990
"15",437127,"Chartrons - Grand Parc - Jardin Public",44.85636,-0.58518,"Private room in apartment","Private room",2,1,1,46,2,1125,10,"france","bordeaux","2020-08-29",920
"16",438600,"Chartrons - Grand Parc - Jardin Public",44.85575,-0.5824,"Private room in apartment","Private room",1,1,1,31,2,1125,10,"france","bordeaux","2020-08-29",620
"17",450324,"Plaisance-Loret-Maregue",44.86238,-0.50698,"Entire house","Entire home/apt",5,4,4,110,2,1125,0,"france","bordeaux","2020-08-29",3300
"18",457462,"Talence",44.80935,-0.59991,"Entire apartment","Entire home/apt",4,2,2,75,2,21,0,"france","bordeaux","2020-08-29",2250
"19",457640,"Talence",44.80907,-0.60034,"Entire apartment","Entire home/apt",4,2,2,86,2,30,0,"france","bordeaux","2020-08-29",2580
"20",458580,"Bordeaux Sud",44.83424,-0.57022,"Entire apartment","Entire home/apt",4,1,2,35,28,300,0,"france","bordeaux","2020-08-29",1050
"21",482102,"Le Bouscat",44.85446,-0.59562,"Entire townhouse","Entire home/apt",12,6,7,185,2,21,16,"france","bordeaux","2020-08-29",2590
"22",500193,"Bordeaux Sud",44.83118,-0.5628,"Entire apartment","Entire home/apt",4,2,2,100,1,14,15,"france","bordeaux","2020-08-29",1500
"23",543460,"Saint Augustin - Tauzin - Alphonse Dupeux",44.82761,-0.59472,"Private room in bed and breakfast","Private room",2,1,1,115,1,1125,0,"france","bordeaux","2020-08-29",3450
"24",545440,"Chartrons - Grand Parc - Jardin Public",44.85657,-0.57796,"Entire house","Entire home/apt",5,2,2,236,2,30,0,"france","bordeaux","2020-08-29",7080
"25",548827,"Centre ville (Bordeaux)",44.83949,-0.57233,"Private room in bed and breakfast","Private room",2,1,1,110,1,6,22,"france","bordeaux","2020-08-29",880
"26",557526,"Talence",44.81216,-0.59949,"Entire apartment","Entire home/apt",3,2,1,79,3,21,0,"france","bordeaux","2020-08-29",2370
"27",568013,"Bordeaux Sud",44.8337,-0.56805,"Entire house","Entire home/apt",7,3,6,90,4,21,0,"france","bordeaux","2020-08-29",2700
"28",582745,"Le Bouscat",44.86363,-0.60591,"Entire house","Entire home/apt",8,3,5,177,2,1125,0,"france","bordeaux","2020-08-29",5310
"29",599263,"Centre ville (Bordeaux)",44.83828,-0.5762,"Entire apartment","Entire home/apt",4,2,2,99.29,3,20,24,"france","bordeaux","2020-08-29",595.74
"30",648539,"Bordeaux Sud",44.83103,-0.56652,"Entire apartment","Entire home/apt",4,1,1,29,30,1125,0,"france","bordeaux","2020-08-29",870
"31",656926,"Bordeaux Sud",44.83421,-0.56205,"Private room in house","Private room",2,2,2,54,2,6,0,"france","bordeaux","2020-08-29",1620
"32",667763,"Centre ville (Bordeaux)",44.83703,-0.56795,"Entire apartment","Entire home/apt",2,1,1,101,27,300,3,"france","bordeaux","2020-08-29",2727
"33",670292,"Saint Augustin - Tauzin - Alphonse Dupeux",44.82984,-0.58893,"Entire apartment","Entire home/apt",2,1,1,70,3,1125,1,"france","bordeaux","2020-08-29",2030
"34",675853,"Bordeaux Sud",44.83266,-0.56264,"Entire apartment","Entire home/apt",4,3,2,100,2,30,0,"france","bordeaux","2020-08-29",3000
"35",709326,"Caudran",44.83948,-0.61874,"Private room in house","Private room",2,1,1,50,2,30,0,"france","bordeaux","2020-08-29",1500
"36",717608,"La Bastide",44.84173,-0.54901,"Entire house","Entire home/apt",6,3,3,210,5,30,0,"france","bordeaux","2020-08-29",6300
"37",724856,"Saint Augustin - Tauzin - Alphonse Dupeux",44.83165,-0.59787,"Private room in house","Private room",2,1,1,47,2,1125,10,"france","bordeaux","2020-08-29",940
"38",749334,"Bordeaux Sud",44.83393,-0.56643,"Entire apartment","Entire home/apt",2,1,NA,25,14,30,0,"france","bordeaux","2020-08-29",750
"39",752422,"Centre ville (Bordeaux)",44.84655,-0.58042,"Entire apartment","Entire home/apt",3,1,1,50,5,90,0,"france","bordeaux","2020-08-29",1500
"40",765240,"Centre ville (Bordeaux)",44.84344,-0.57748,"Entire apartment","Entire home/apt",4,2,3,210,3,28,29,"france","bordeaux","2020-08-29",210
"41",776808,"Nansouty - Saint Gens",44.8256,-0.58388,"Private room in bed and breakfast","Private room",2,1,1,121,2,15,0,"france","bordeaux","2020-08-29",3630
"42",777417,"Nansouty - Saint Gens",44.82579,-0.58352,"Private room in bed and breakfast","Private room",3,1,2,123,2,31,17,"france","bordeaux","2020-08-29",1599
"43",779477,"Centre ville (Bordeaux)",44.84717,-0.58941,"Entire apartment","Entire home/apt",6,3,4,67,2,365,23,"france","bordeaux","2020-08-29",469
"44",783449,"Saint Augustin - Tauzin - Alphonse Dupeux",44.83011,-0.60038,"Private room in house","Private room",3,1,2,59,1,1125,20,"france","bordeaux","2020-08-29",590
"45",793746,"Bordeaux Sud",44.82869,-0.57231,"Entire apartment","Entire home/apt",2,1,1,80,3,30,23,"france","bordeaux","2020-08-29",560
"46",801440,"Bordeaux Sud",44.82869,-0.57231,"Entire apartment","Entire home/apt",2,1,1,80,3,1125,21,"france","bordeaux","2020-08-29",720
"47",805226,"Centre ville (Bordeaux)",44.84614,-0.58054,"Private room in house","Private room",2,1,1,42,2,14,13,"france","bordeaux","2020-08-29",714
"48",806933,"Bordeaux Maritime",44.86103,-0.56561,"Entire house","Entire home/apt",7,2,4,144,2,1125,10,"france","bordeaux","2020-08-29",2880
"49",813125,"Palmer-Gravires-Cavailles",44.86145,-0.51729,"Private room in bed and breakfast","Private room",2,1,1,64,4,30,4,"france","bordeaux","2020-08-29",1664
"50",823341,"Bordeaux Sud",44.83134,-0.57183,"Entire apartment","Entire home/apt",4,1,2,90,4,365,0,"france","bordeaux","2020-08-29",2700
"51",835418,"Chartrons - Grand Parc - Jardin Public",44.85239,-0.58688,"Entire condominium","Entire home/apt",4,2,3,35,7,14,0,"france","bordeaux","2020-08-29",1050
"52",837713,"Carbon-Blanc",44.90228,-0.50126,"Private room in house","Private room",2,1,1,30,5,365,4,"france","bordeaux","2020-08-29",780
"53",845807,"Chartrons - Grand Parc - Jardin Public",44.85261,-0.57731,"Entire apartment","Entire home/apt",2,1,1,90,1,90,0,"france","bordeaux","2020-08-29",2700
"54",845815,"Chartrons - Grand Parc - Jardin Public",44.85066,-0.57588,"Entire apartment","Entire home/apt",2,1,1,92,1,90,10,"france","bordeaux","2020-08-29",1840
"55",856891,"Caudran",44.85952,-0.61226,"Entire house","Entire home/apt",10,5,6,332,2,30,16,"france","bordeaux","2020-08-29",4648
"56",858946,"Centre ville (Bordeaux)",44.84204,-0.573,"Entire apartment","Entire home/apt",4,1,2,60,30,180,1,"france","bordeaux","2020-08-29",1740
"57",865244,"La Glacire",44.82859,-0.61801,"Entire bungalow","Entire home/apt",2,1,1,75,2,21,15,"france","bordeaux","2020-08-29",1125
"58",867488,"Bordeaux Sud",44.83305,-0.57509,"Entire apartment","Entire home/apt",8,3,6,220,2,90,21,"france","bordeaux","2020-08-29",1980
