"","id","neighbourhood_cleansed","city","country","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","date","revenue_30"
"1",56766,"5e Arrondissement","lyon","france",45.76321,4.82911,"Apartment","Entire home/apt",6,3,4,210,14,720,23,"2020-07-25",1470
"2",71455,"5e Arrondissement","lyon","france",45.76206,4.82751,"Apartment","Entire home/apt",4,1,2,80,2,30,1,"2020-07-25",2320
"3",77104,"1er Arrondissement","lyon","france",45.76962,4.8275,"Apartment","Entire home/apt",4,1,2,70,2,15,1,"2020-07-25",2030
"4",134539,"5e Arrondissement","lyon","france",45.7593,4.82548,"Apartment","Entire home/apt",4,2,2,52,2,30,20,"2020-07-25",520
"5",136556,"3e Arrondissement","lyon","france",45.76208,4.85327,"Apartment","Entire home/apt",5,1,3,99,3,730,0,"2020-07-25",2970
"6",137132,"6e Arrondissement","lyon","france",45.76854,4.85312,"Condominium","Entire home/apt",4,1,1,88,3,730,13,"2020-07-25",1496
"7",174304,"1er Arrondissement","lyon","france",45.76695,4.83241,"Apartment","Entire home/apt",6,3,4,125,2,120,0,"2020-07-25",3750
"8",233372,"5e Arrondissement","lyon","france",45.7583,4.82194,"Apartment","Entire home/apt",2,1,1,70,2,365,29,"2020-07-25",70
"9",249711,"7e Arrondissement","lyon","france",45.75104,4.83795,"Apartment","Entire home/apt",6,3,4,120,2,30,27,"2020-07-25",360
"10",251630,"1er Arrondissement","lyon","france",45.77019,4.835,"Apartment","Entire home/apt",2,0,2,35,13,180,29,"2020-07-25",35
"11",298089,"3e Arrondissement","lyon","france",45.75775,4.87644,"Apartment","Private room",3,1,2,24,1,5,0,"2020-07-25",720
"12",329950,"3e Arrondissement","lyon","france",45.74817,4.87162,"Apartment","Private room",6,3,4,65,2,16,0,"2020-07-25",1950
"13",342674,"3e Arrondissement","lyon","france",45.75383,4.84758,"Apartment","Entire home/apt",8,3,5,155,1,1125,17,"2020-07-25",2015
"14",349150,"5e Arrondissement","lyon","france",45.76419,4.82794,"Apartment","Entire home/apt",4,1,3,79,2,1125,0,"2020-07-25",2370
"15",365998,"1er Arrondissement","lyon","france",45.76846,4.82951,"Apartment","Entire home/apt",2,1,1,65,3,15,0,"2020-07-25",1950
"16",369303,"6e Arrondissement","lyon","france",45.76407,4.86958,"Apartment","Entire home/apt",2,1,1,50,2,15,0,"2020-07-25",1500
"17",387453,"1er Arrondissement","lyon","france",45.76872,4.83024,"Apartment","Entire home/apt",5,3,4,160,3,13,15,"2020-07-25",2400
"18",403747,"2e Arrondissement","lyon","france",45.75865,4.83353,"Apartment","Private room",2,1,2,39,1,31,6,"2020-07-25",936
"19",416475,"1er Arrondissement","lyon","france",45.77063,4.83459,"Apartment","Entire home/apt",4,2,2,55,2,1125,0,"2020-07-25",1650
"20",452349,"3e Arrondissement","lyon","france",45.75398,4.87246,"Apartment","Private room",2,1,1,60,1,1125,27,"2020-07-25",180
"21",501479,"3e Arrondissement","lyon","france",45.75358,4.85232,"Apartment","Entire home/apt",6,2,3,75,3,30,10,"2020-07-25",1500
"22",504071,"1er Arrondissement","lyon","france",45.77005,4.83212,"Apartment","Entire home/apt",6,3,3,85,1,30,0,"2020-07-25",2550
"23",511325,"8e Arrondissement","lyon","france",45.73366,4.85867,"House","Private room",1,1,1,29,1,200,0,"2020-07-25",870
"24",539495,"3e Arrondissement","lyon","france",45.75796,4.86633,"Apartment","Entire home/apt",3,1,2,60,1,180,0,"2020-07-25",1800
"25",549598,"5e Arrondissement","lyon","france",45.76362,4.82646,"Apartment","Entire home/apt",2,1,1,130,2,14,30,"2020-07-25",0
"26",551810,"1er Arrondissement","lyon","france",45.76504,4.83301,"Loft","Entire home/apt",4,1,2,100,2,120,9,"2020-07-25",2100
"27",556834,"6e Arrondissement","lyon","france",45.77407,4.84702,"Apartment","Entire home/apt",5,2,3,90,5,120,30,"2020-07-25",0
"28",568164,"5e Arrondissement","lyon","france",45.75883,4.82572,"Apartment","Entire home/apt",2,1,1,58,1,1125,30,"2020-07-25",0
"29",592419,"5e Arrondissement","lyon","france",45.75936,4.82677,"Apartment","Entire home/apt",2,1,1,98,3,1124,29,"2020-07-25",98
"30",593123,"7e Arrondissement","lyon","france",45.74234,4.83739,"Apartment","Private room",2,1,1,25,4,14,0,"2020-07-25",750
"31",612551,"1er Arrondissement","lyon","france",45.76903,4.83281,"Apartment","Entire home/apt",2,1,3,85,6,365,0,"2020-07-25",2550
"32",614603,"1er Arrondissement","lyon","france",45.77045,4.83485,"Loft","Entire home/apt",4,2,3,80,2,20,12,"2020-07-25",1440
"33",615644,"3e Arrondissement","lyon","france",45.75941,4.84133,"Apartment","Private room",2,1,1,54,1,6,0,"2020-07-25",1620
"34",619832,"5e Arrondissement","lyon","france",45.76621,4.82123,"Apartment","Entire home/apt",7,4,4,250,2,1125,0,"2020-07-25",7500
"35",624540,"1er Arrondissement","lyon","france",45.77043,4.83346,"Loft","Entire home/apt",3,1,1,65,1,6,28,"2020-07-25",130
"36",626944,"6e Arrondissement","lyon","france",45.76648,4.84947,"Apartment","Entire home/apt",4,2,3,115,1,60,21,"2020-07-25",1035
"37",635366,"5e Arrondissement","lyon","france",45.75772,4.82393,"Apartment","Private room",2,1,1,52,1,4,10,"2020-07-25",1040
"38",635954,"5e Arrondissement","lyon","france",45.75769,4.82403,"Apartment","Entire home/apt",4,2,2,102,2,1125,0,"2020-07-25",3060
"39",656723,"1er Arrondissement","lyon","france",45.76689,4.83515,"Apartment","Entire home/apt",2,1,1,95,3,90,29,"2020-07-25",95
"40",681291,"4e Arrondissement","lyon","france",45.77994,4.83804,"Townhouse","Private room",2,1,0,49,1,5,30,"2020-07-25",0
"41",693262,"3e Arrondissement","lyon","france",45.75309,4.85157,"Apartment","Entire home/apt",4,1,2,45,15,60,0,"2020-07-25",1350
"42",695607,"3e Arrondissement","lyon","france",45.74345,4.88462,"Townhouse","Entire home/apt",4,2,2,105,3,15,15,"2020-07-25",1575
"43",722593,"4e Arrondissement","lyon","france",45.77546,4.83024,"Apartment","Entire home/apt",4,1,2,100,2,1125,0,"2020-07-25",3000
"44",725946,"4e Arrondissement","lyon","france",45.77426,4.82026,"Apartment","Entire home/apt",2,1,1,59,3,90,0,"2020-07-25",1770
"45",730564,"1er Arrondissement","lyon","france",45.77057,4.82752,"Apartment","Entire home/apt",6,2,3,250,3,14,0,"2020-07-25",7500
"46",737774,"1er Arrondissement","lyon","france",45.77095,4.82704,"Loft","Entire home/apt",4,1,1,140,2,359,28,"2020-07-25",280
"47",746054,"3e Arrondissement","lyon","france",45.75392,4.85125,"Apartment","Private room",2,1,1,58,2,10,1,"2020-07-25",1682
"48",747327,"7e Arrondissement","lyon","france",45.74057,4.84138,"Apartment","Entire home/apt",6,4,4,110,2,20,3,"2020-07-25",2970
"49",748799,"8e Arrondissement","lyon","france",45.74062,4.85937,"Loft","Entire home/apt",7,3,4,50,4,14,15,"2020-07-25",750
"50",756254,"3e Arrondissement","lyon","france",45.7539,4.88719,"Apartment","Entire home/apt",4,2,2,130,3,30,0,"2020-07-25",3900
"51",758266,"2e Arrondissement","lyon","france",45.7524,4.82989,"Apartment","Private room",2,1,2,90,1,1125,0,"2020-07-25",2700
"52",759321,"3e Arrondissement","lyon","france",45.75441,4.84923,"Apartment","Private room",2,1,1,58,2,10,1,"2020-07-25",1682
"53",766349,"5e Arrondissement","lyon","france",45.76115,4.82395,"Apartment","Entire home/apt",5,3,3,180,2,1125,0,"2020-07-25",5400
"54",779134,"1er Arrondissement","lyon","france",45.76803,4.83082,"Apartment","Entire home/apt",4,1,1,105,3,90,30,"2020-07-25",0
"55",783471,"1er Arrondissement","lyon","france",45.77147,4.83324,"Apartment","Entire home/apt",4,1,2,59,2,15,7,"2020-07-25",1357
"56",785654,"4e Arrondissement","lyon","france",45.78709,4.81859,"Apartment","Entire home/apt",4,1,1,76,2,90,24,"2020-07-25",456
"57",788756,"7e Arrondissement","lyon","france",45.75098,4.84595,"Apartment","Entire home/apt",4,0,3,55,28,1125,14,"2020-07-25",880
"58",788788,"7e Arrondissement","lyon","france",45.73297,4.82789,"Apartment","Entire home/apt",3,0,2,49,28,1124,5,"2020-07-25",1225
"59",788814,"1er Arrondissement","lyon","france",45.76868,4.83306,"Apartment","Entire home/apt",3,0,2,49,28,1124,0,"2020-07-25",1470
"60",788830,"1er Arrondissement","lyon","france",45.77257,4.83214,"Apartment","Entire home/apt",4,0,2,45,28,1124,0,"2020-07-25",1350
"61",788841,"7e Arrondissement","lyon","france",45.75261,4.84555,"Apartment","Entire home/apt",2,0,1,49,28,1124,25,"2020-07-25",245
"62",789425,"1er Arrondissement","lyon","france",45.76925,4.83186,"Apartment","Entire home/apt",6,3,3,150,2,20,28,"2020-07-25",300
"63",792903,"8e Arrondissement","lyon","france",45.73208,4.87071,"Apartment","Entire home/apt",2,1,1,46,2,90,15,"2020-07-25",690
"64",795895,"9e Arrondissement","lyon","france",45.77379,4.80703,"Apartment","Entire home/apt",2,1,1,100,7,31,24,"2020-07-25",600
"65",799734,"1er Arrondissement","lyon","france",45.77228,4.83265,"Apartment","Entire home/apt",9,4,5,140,2,1125,5,"2020-07-25",3500
"66",804081,"7e Arrondissement","lyon","france",45.75319,4.84601,"Train","Entire home/apt",5,2,3,75,2,31,0,"2020-07-25",2250
"67",806381,"1er Arrondissement","lyon","france",45.76599,4.83529,"Apartment","Entire home/apt",5,2,3,65,1,1125,1,"2020-07-25",1885
"68",809514,"4e Arrondissement","lyon","france",45.77561,4.83621,"Apartment","Entire home/apt",3,1,2,62,2,365,29,"2020-07-25",62
"69",814300,"3e Arrondissement","lyon","france",45.75775,4.84723,"Apartment","Entire home/apt",2,1,0,65,2,10,0,"2020-07-25",1950
"70",815342,"1er Arrondissement","lyon","france",45.76832,4.82921,"Apartment","Entire home/apt",3,1,1,65,3,90,0,"2020-07-25",1950
