"","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","country","city","date","revenue_30"
"1",56766,"5e Arrondissement",45.76321,4.82911,"Entire apartment","Entire home/apt",6,3,4,250,14,720,0,"france","lyon","2020-09-19",7500
"2",71455,"5e Arrondissement",45.76206,4.82751,"Entire apartment","Entire home/apt",4,1,2,80,2,30,0,"france","lyon","2020-09-19",2400
"3",77104,"1er Arrondissement",45.76962,4.8275,"Entire apartment","Entire home/apt",4,1,2,70,2,15,0,"france","lyon","2020-09-19",2100
"4",134539,"5e Arrondissement",45.7593,4.82548,"Entire apartment","Entire home/apt",4,2,2,60,4,30,0,"france","lyon","2020-09-19",1800
"5",136556,"3e Arrondissement",45.76208,4.85327,"Entire apartment","Entire home/apt",5,1,3,99,3,730,0,"france","lyon","2020-09-19",2970
"6",137132,"6e Arrondissement",45.76854,4.85312,"Entire condominium","Entire home/apt",4,1,1,88,3,730,0,"france","lyon","2020-09-19",2640
"7",174304,"1er Arrondissement",45.76695,4.83241,"Entire apartment","Entire home/apt",6,3,4,109,2,120,13,"france","lyon","2020-09-19",1853
"8",249711,"7e Arrondissement",45.75104,4.83795,"Entire apartment","Entire home/apt",6,3,4,120,2,30,27,"france","lyon","2020-09-19",360
"9",251630,"1er Arrondissement",45.77019,4.835,"Entire apartment","Entire home/apt",2,NA,2,35,13,180,0,"france","lyon","2020-09-19",1050
"10",298089,"3e Arrondissement",45.75775,4.87644,"Private room in apartment","Private room",3,1,2,22,1,5,0,"france","lyon","2020-09-19",660
"11",329950,"3e Arrondissement",45.74817,4.87162,"Private room in apartment","Private room",6,3,4,72,2,16,0,"france","lyon","2020-09-19",2160
"12",342674,"3e Arrondissement",45.75383,4.84758,"Entire apartment","Entire home/apt",8,3,5,155,1,1125,10,"france","lyon","2020-09-19",3100
"13",349150,"5e Arrondissement",45.76419,4.82794,"Entire apartment","Entire home/apt",4,1,3,79,2,1125,16,"france","lyon","2020-09-19",1106
"14",365998,"1er Arrondissement",45.76846,4.82951,"Entire apartment","Entire home/apt",2,1,1,66,3,15,21,"france","lyon","2020-09-19",594
"15",369303,"6e Arrondissement",45.76407,4.86958,"Entire apartment","Entire home/apt",2,1,1,50,2,15,0,"france","lyon","2020-09-19",1500
"16",387453,"1er Arrondissement",45.76872,4.83024,"Entire apartment","Entire home/apt",5,3,4,90,4,28,0,"france","lyon","2020-09-19",2700
"17",403747,"2e Arrondissement",45.75865,4.83353,"Private room in apartment","Private room",2,1,2,41,1,31,18,"france","lyon","2020-09-19",492
"18",416475,"1er Arrondissement",45.77063,4.83459,"Entire apartment","Entire home/apt",4,2,2,55,2,1125,0,"france","lyon","2020-09-19",1650
"19",452349,"3e Arrondissement",45.75398,4.87246,"Private room in apartment","Private room",2,1,1,60,1,1125,27,"france","lyon","2020-09-19",180
"20",501479,"3e Arrondissement",45.75358,4.85232,"Entire apartment","Entire home/apt",6,2,3,77.14,3,30,6,"france","lyon","2020-09-19",1851.36
"21",504071,"1er Arrondissement",45.77005,4.83212,"Entire apartment","Entire home/apt",6,3,3,85,1,30,0,"france","lyon","2020-09-19",2550
"22",511325,"8e Arrondissement",45.73366,4.85867,"Private room in house","Private room",1,1,1,32,1,200,0,"france","lyon","2020-09-19",960
"23",539495,"3e Arrondissement",45.75796,4.86633,"Entire apartment","Entire home/apt",3,1,2,83,1,180,0,"france","lyon","2020-09-19",2490
"24",549598,"5e Arrondissement",45.76362,4.82646,"Entire apartment","Entire home/apt",2,1,1,130,2,14,30,"france","lyon","2020-09-19",0
"25",551810,"1er Arrondissement",45.76504,4.83301,"Entire loft","Entire home/apt",4,1,2,99,2,120,1,"france","lyon","2020-09-19",2871
"26",556834,"6e Arrondissement",45.77407,4.84702,"Entire apartment","Entire home/apt",5,2,3,98,5,120,1,"france","lyon","2020-09-19",2842
"27",568164,"5e Arrondissement",45.75883,4.82572,"Entire apartment","Entire home/apt",2,1,1,58,1,1125,1,"france","lyon","2020-09-19",1682
"28",592419,"5e Arrondissement",45.75936,4.82677,"Entire apartment","Entire home/apt",2,1,1,98,3,1124,0,"france","lyon","2020-09-19",2940
"29",593123,"7e Arrondissement",45.74234,4.83739,"Private room in apartment","Private room",2,1,1,26,4,14,0,"france","lyon","2020-09-19",780
"30",612551,"1er Arrondissement",45.76903,4.83281,"Entire apartment","Entire home/apt",2,1,3,80,6,365,0,"france","lyon","2020-09-19",2400
"31",614603,"1er Arrondissement",45.77045,4.83485,"Entire loft","Entire home/apt",4,1,2,107,2,60,3,"france","lyon","2020-09-19",2889
"32",615644,"3e Arrondissement",45.75941,4.84133,"Private room in apartment","Private room",2,1,1,54,1,6,20,"france","lyon","2020-09-19",540
"33",619832,"5e Arrondissement",45.76621,4.82123,"Entire apartment","Entire home/apt",7,4,5,250,4,1125,3,"france","lyon","2020-09-19",6750
"34",626944,"6e Arrondissement",45.76648,4.84947,"Entire apartment","Entire home/apt",4,2,3,115,1,60,0,"france","lyon","2020-09-19",3450
"35",635366,"5e Arrondissement",45.75772,4.82393,"Private room in apartment","Private room",2,1,1,52,1,4,0,"france","lyon","2020-09-19",1560
"36",635954,"5e Arrondissement",45.75769,4.82403,"Entire apartment","Entire home/apt",4,2,2,102,2,1125,0,"france","lyon","2020-09-19",3060
"37",656723,"1er Arrondissement",45.76689,4.83515,"Entire apartment","Entire home/apt",2,1,1,95,3,90,13,"france","lyon","2020-09-19",1615
"38",681291,"4e Arrondissement",45.77994,4.83804,"Private room in townhouse","Private room",2,1,0,45,1,5,29,"france","lyon","2020-09-19",45
"39",684345,"1er Arrondissement",45.76911,4.83658,"Entire apartment","Entire home/apt",4,NA,2,50,4,1125,12,"france","lyon","2020-09-19",900
"40",693262,"3e Arrondissement",45.75309,4.85157,"Entire apartment","Entire home/apt",4,1,2,45,15,60,0,"france","lyon","2020-09-19",1350
"41",695607,"3e Arrondissement",45.74345,4.88462,"Entire townhouse","Entire home/apt",4,2,2,85,3,15,15,"france","lyon","2020-09-19",1275
"42",722593,"4e Arrondissement",45.77546,4.83024,"Entire apartment","Entire home/apt",4,1,2,100,2,1125,1,"france","lyon","2020-09-19",2900
"43",725946,"4e Arrondissement",45.77426,4.82026,"Entire apartment","Entire home/apt",2,1,1,49,3,90,0,"france","lyon","2020-09-19",1470
"44",730564,"1er Arrondissement",45.77057,4.82752,"Entire apartment","Entire home/apt",6,2,3,250,3,14,0,"france","lyon","2020-09-19",7500
"45",737774,"1er Arrondissement",45.77095,4.82704,"Entire loft","Entire home/apt",4,1,1,140,2,359,28,"france","lyon","2020-09-19",280
"46",746054,"3e Arrondissement",45.75392,4.85125,"Private room in apartment","Private room",2,1,1,58,2,10,19,"france","lyon","2020-09-19",638
"47",747327,"7e Arrondissement",45.74057,4.84138,"Entire apartment","Entire home/apt",6,4,4,110,2,20,0,"france","lyon","2020-09-19",3300
"48",756254,"3e Arrondissement",45.7539,4.88719,"Entire apartment","Entire home/apt",4,2,2,130,3,30,30,"france","lyon","2020-09-19",0
"49",758266,"2e Arrondissement",45.7524,4.82989,"Private room in apartment","Private room",2,1,2,90,1,1125,0,"france","lyon","2020-09-19",2700
"50",759321,"3e Arrondissement",45.75441,4.84923,"Private room in apartment","Private room",2,1,1,58,2,10,19,"france","lyon","2020-09-19",638
"51",766349,"5e Arrondissement",45.76115,4.82395,"Entire apartment","Entire home/apt",5,3,3,179,2,1125,23,"france","lyon","2020-09-19",1253
"52",779134,"1er Arrondissement",45.76803,4.83082,"Entire apartment","Entire home/apt",4,1,1,140,3,90,30,"france","lyon","2020-09-19",0
"53",783471,"1er Arrondissement",45.77147,4.83324,"Entire apartment","Entire home/apt",4,1,2,59,2,15,3,"france","lyon","2020-09-19",1593
"54",785654,"4e Arrondissement",45.78709,4.81859,"Entire apartment","Entire home/apt",4,1,1,65,2,90,0,"france","lyon","2020-09-19",1950
"55",788756,"7e Arrondissement",45.75098,4.84595,"Entire apartment","Entire home/apt",4,NA,3,45,28,1125,0,"france","lyon","2020-09-19",1350
"56",788788,"7e Arrondissement",45.73297,4.82789,"Entire apartment","Entire home/apt",3,NA,2,49,28,1124,0,"france","lyon","2020-09-19",1470
"57",788814,"1er Arrondissement",45.76868,4.83306,"Entire apartment","Entire home/apt",3,NA,2,40,28,1124,0,"france","lyon","2020-09-19",1200
"58",788841,"7e Arrondissement",45.75261,4.84555,"Entire apartment","Entire home/apt",2,NA,1,49,28,1124,0,"france","lyon","2020-09-19",1470
