"","id","neighbourhood_cleansed","city","country","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","date","revenue_30"
"1",2015,"Brunnenstr. Süd","berlin","germany",52.53454,13.40256,"Guesthouse","Entire home/apt",3,1,0,60,4,1125,30,"2020-06-13",0
"2",3176,"Prenzlauer Berg Südwest","berlin","germany",52.535,13.41758,"Apartment","Entire home/apt",4,1,2,90,62,1125,0,"2020-06-13",2700
"3",3309,"Schöneberg-Nord","berlin","germany",52.49885,13.34906,"Apartment","Private room",1,1,1,28,7,35,29,"2020-06-13",28
"4",7071,"Helmholtzplatz","berlin","germany",52.54316,13.41509,"Apartment","Private room",2,1,2,33,1,10,0,"2020-06-13",990
"5",9991,"Prenzlauer Berg Südwest","berlin","germany",52.53303,13.41605,"Apartment","Entire home/apt",7,4,7,180,6,14,10,"2020-06-13",3600
"6",14325,"Prenzlauer Berg Nordwest","berlin","germany",52.54785,13.40556,"Apartment","Entire home/apt",1,0,1,70,90,1125,28,"2020-06-13",140
"7",16644,"nördliche Luisenstadt","berlin","germany",52.50479,13.4351,"Apartment","Entire home/apt",5,1,3,90,60,365,0,"2020-06-13",2700
"8",17904,"Reuterstraße","berlin","germany",52.49548,13.42182,"Apartment","Entire home/apt",2,0,0,49,5,90,4,"2020-06-13",1274
"9",20858,"Prenzlauer Berg Südwest","berlin","germany",52.53695,13.40762,"Loft","Entire home/apt",4,2,2,129,3,30,29,"2020-06-13",129
"10",21869,"nördliche Luisenstadt","berlin","germany",52.50273,13.43462,"Apartment","Entire home/apt",4,1,2,70,60,365,0,"2020-06-13",2100
"11",22415,"südliche Luisenstadt","berlin","germany",52.49485,13.4285,"Apartment","Entire home/apt",4,2,2,98,3,30,13,"2020-06-13",1666
"12",22677,"Brunnenstr. Süd","berlin","germany",52.53435,13.40558,"Apartment","Entire home/apt",5,1,4,160,2,24,30,"2020-06-13",0
"13",23834,"Tempelhofer Vorstadt","berlin","germany",52.48971,13.37975,"Condominium","Entire home/apt",4,1,3,65,185,360,0,"2020-06-13",1950
"14",24569,"Prenzlauer Berg Südwest","berlin","germany",52.53079,13.41808,"Apartment","Entire home/apt",4,2,2,90,4,21,2,"2020-06-13",2520
"15",25653,"Prenzlauer Berg Süd","berlin","germany",52.53026,13.41947,"Apartment","Entire home/apt",4,2,2,90,4,21,0,"2020-06-13",2700
"16",26543,"Helmholtzplatz","berlin","germany",52.54406,13.42138,"Apartment","Entire home/apt",8,2,4,199,3,1125,30,"2020-06-13",0
"17",28156,"Prenzlauer Berg Nordwest","berlin","germany",52.54672,13.40512,"Apartment","Entire home/apt",1,0,1,70,90,1125,28,"2020-06-13",140
"18",29279,"Helmholtzplatz","berlin","germany",52.54179,13.42388,"Apartment","Entire home/apt",4,2,3,65,60,180,0,"2020-06-13",1950
"19",30295,"Helmholtzplatz","berlin","germany",52.54597,13.42236,"Apartment","Entire home/apt",8,2,4,100,4,365,3,"2020-06-13",2700
"20",31440,"Helmholtzplatz","berlin","germany",52.54309,13.42245,"Apartment","Private room",1,1,0,37,1,14,29,"2020-06-13",37
"21",33043,"Moabit Ost","berlin","germany",52.52195,13.3559,"Apartment","Entire home/apt",4,1,2,62,3,1125,29,"2020-06-13",62
"22",35152,"Brunnenstr. Süd","berlin","germany",52.53506,13.39699,"Loft","Private room",2,1,1,75,2,28,0,"2020-06-13",2250
"23",36480,"Otto-Suhr-Allee","berlin","germany",52.51968,13.30209,"Apartment","Private room",1,1,1,40,1,21,30,"2020-06-13",0
"24",37836,"südliche Luisenstadt","berlin","germany",52.49847,13.44013,"Apartment","Private room",3,1,1,39,1,21,30,"2020-06-13",0
"25",38074,"Prenzlauer Berg Süd","berlin","germany",52.53713,13.42473,"Apartment","Entire home/apt",2,1,1,84,84,1125,1,"2020-06-13",2436
"26",38296,"Schillerpromenade","berlin","germany",52.48586,13.42362,"Apartment","Entire home/apt",2,1,2,80,10,30,14,"2020-06-13",1280
"27",40600,"Tempelhofer Vorstadt","berlin","germany",52.48844,13.4206,"Loft","Private room",2,1,1,50,3,14,0,"2020-06-13",1500
"28",41217,"Prenzlauer Berg Südwest","berlin","germany",52.53641,13.41231,"Apartment","Private room",2,1,1,43,2,7,0,"2020-06-13",1290
"29",41306,"Prenzlauer Berg Süd","berlin","germany",52.53028,13.42348,"Apartment","Private room",2,1,1,40,1,7,0,"2020-06-13",1200
"30",42742,"südliche Luisenstadt","berlin","germany",52.49667,13.44034,"Apartment","Private room",3,1,1,36,3,730,0,"2020-06-13",1080
"31",42809,"Frankfurter Allee Süd FK","berlin","germany",52.51099,13.45642,"Apartment","Entire home/apt",4,2,2,119,4,365,30,"2020-06-13",0
"32",44083,"Alt  Treptow","berlin","germany",52.4904,13.44085,"Apartment","Private room",2,1,0,42,2,7,20,"2020-06-13",420
"33",44423,"Frankfurter Allee Süd FK","berlin","germany",52.50888,13.45636,"Apartment","Private room",2,1,1,56,82,100,0,"2020-06-13",1680
