"","id","neighbourhood_cleansed","city","country","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","date","revenue_30"
"1",36720,"Ludwigsvorstadt-Isarvorstadt","munich","germany",48.13057,11.56929,"Apartment","Entire home/apt",2,1,1,95,2,730,0,"2020-05-24",2850
"2",49309,"Ludwigsvorstadt-Isarvorstadt","munich","germany",48.12456,11.55567,"Apartment","Private room",2,2,2,40,14,180,1,"2020-05-24",1160
"3",97945,"Hadern","munich","germany",48.11476,11.48782,"Apartment","Entire home/apt",2,1,1,80,2,90,2,"2020-05-24",2240
"4",114695,"Berg am Laim","munich","germany",48.11923,11.63726,"Apartment","Entire home/apt",5,1,3,95,2,30,24,"2020-05-24",570
"5",127383,"Maxvorstadt","munich","germany",48.15198,11.56486,"Apartment","Entire home/apt",4,1,1,120,2,14,0,"2020-05-24",3600
"6",157808,"Schwabing-West","munich","germany",48.16381,11.56089,"Apartment","Private room",2,1,1,35,1,36,0,"2020-05-24",1050
"7",159634,"Pasing-Obermenzing","munich","germany",48.13898,11.46612,"Apartment","Entire home/apt",3,1,1,55,5,90,0,"2020-05-24",1650
"8",170154,"Sendling-Westpark","munich","germany",48.10751,11.52733,"House","Private room",4,1,2,55,2,1125,19,"2020-05-24",605
"9",170815,"Neuhausen-Nymphenburg","munich","germany",48.16132,11.54154,"Apartment","Entire home/apt",2,1,1,65,3,14,30,"2020-05-24",0
"10",171749,"Untergiesing-Harlaching","munich","germany",48.10583,11.57843,"Apartment","Private room",2,1,1,55,3,10,30,"2020-05-24",0
"11",172672,"Schwabing-West","munich","germany",48.16341,11.56366,"Apartment","Private room",2,1,1,54,1,4,0,"2020-05-24",1620
"12",172977,"Maxvorstadt","munich","germany",48.14816,11.55449,"Apartment","Private room",2,1,0,67,2,30,0,"2020-05-24",2010
"13",178114,"Maxvorstadt","munich","germany",48.15341,11.57267,"Apartment","Entire home/apt",2,1,1,59,3,30,0,"2020-05-24",1770
"14",179640,"Bogenhausen","munich","germany",48.14574,11.63908,"Condominium","Private room",1,1,1,35,2,30,29,"2020-05-24",35
"15",183634,"Allach-Untermenzing","munich","germany",48.17449,11.44619,"Igloo","Shared room",16,1,0,50,1,730,30,"2020-05-24",0
"16",186596,"Au-Haidhausen","munich","germany",48.12198,11.57644,"Apartment","Shared room",5,1,3,85,1,1125,30,"2020-05-24",0
"17",187359,"Neuhausen-Nymphenburg","munich","germany",48.15849,11.54106,"Apartment","Private room",2,1,1,69,2,7,24,"2020-05-24",414
"18",187386,"Berg am Laim","munich","germany",48.12199,11.62761,"Apartment","Private room",2,1,2,59,2,7,30,"2020-05-24",0
"19",189551,"Schwanthalerhöhe","munich","germany",48.1354,11.54618,"Apartment","Entire home/apt",6,2,4,120,7,180,11,"2020-05-24",2280
"20",189582,"Bogenhausen","munich","germany",48.15672,11.64901,"Apartment","Private room",1,1,1,19,30,365,0,"2020-05-24",570
"21",189606,"Au-Haidhausen","munich","germany",48.12551,11.58045,"Apartment","Entire home/apt",4,1,2,51,2,60,18,"2020-05-24",612
"22",190383,"Berg am Laim","munich","germany",48.12452,11.63223,"Apartment","Private room",1,1,1,25,2,730,0,"2020-05-24",750
"23",190453,"Tudering-Riem","munich","germany",48.13211,11.69417,"Apartment","Entire home/apt",6,2,3,200,3,180,1,"2020-05-24",5800
"24",190474,"Ludwigsvorstadt-Isarvorstadt","munich","germany",48.12989,11.56057,"Apartment","Entire home/apt",8,3,4,180,1,365,23,"2020-05-24",1260
"25",190529,"Ludwigsvorstadt-Isarvorstadt","munich","germany",48.12989,11.56057,"Apartment","Private room",4,1,2,50,1,5,10,"2020-05-24",1000
"26",190564,"Ludwigsvorstadt-Isarvorstadt","munich","germany",48.12989,11.56057,"Apartment","Private room",2,1,1,90,1,5,30,"2020-05-24",0
"27",190565,"Ludwigsvorstadt-Isarvorstadt","munich","germany",48.12989,11.56057,"Apartment","Private room",2,1,1,80,1,5,28,"2020-05-24",160
"28",190653,"Ludwigsvorstadt-Isarvorstadt","munich","germany",48.12951,11.56103,"Apartment","Entire home/apt",2,1,1,60,1,730,27,"2020-05-24",180
"29",191405,"Au-Haidhausen","munich","germany",48.12175,11.57879,"Apartment","Entire home/apt",2,1,1,65,2,7,1,"2020-05-24",1885
"30",191429,"Ludwigsvorstadt-Isarvorstadt","munich","germany",48.12821,11.55607,"Apartment","Private room",1,1,1,32,140,365,30,"2020-05-24",0
"31",191535,"Sendling","munich","germany",48.11468,11.53897,"Apartment","Private room",4,1,1,240,1,14,0,"2020-05-24",7200
"32",192933,"Ludwigsvorstadt-Isarvorstadt","munich","germany",48.13012,11.56642,"Apartment","Shared room",4,1,0,70,3,21,24,"2020-05-24",420
"33",193424,"Schwabing-Freimann","munich","germany",48.15262,11.5846,"Apartment","Entire home/apt",2,1,1,85,2,40,0,"2020-05-24",2550
"34",193463,"Maxvorstadt","munich","germany",48.15519,11.5715,"Apartment","Private room",1,1,1,46,2,30,9,"2020-05-24",966
"35",193477,"Maxvorstadt","munich","germany",48.15617,11.56845,"Apartment","Private room",1,1,1,36,2,4,2,"2020-05-24",1008
"36",194533,"Neuhausen-Nymphenburg","munich","germany",48.14822,11.5398,"Apartment","Entire home/apt",2,1,1,120,1,3,28,"2020-05-24",240
"37",194638,"Schwabing-Freimann","munich","germany",48.17141,11.5944,"Apartment","Entire home/apt",3,1,2,120,7,360,0,"2020-05-24",3600
"38",195293,"Schwabing-West","munich","germany",48.164,11.56706,"Condominium","Private room",2,1,1,45,30,210,0,"2020-05-24",1350
"39",195371,"Feldmoching-Hasenbergl","munich","germany",48.19444,11.53349,"House","Private room",2,1,2,29,2,360,1,"2020-05-24",841
"40",195388,"Ramersdorf-Perlach","munich","germany",48.10141,11.60523,"Townhouse","Entire home/apt",4,1,2,75,2,7,29,"2020-05-24",75
"41",195444,"Ludwigsvorstadt-Isarvorstadt","munich","germany",48.12092,11.56138,"Apartment","Private room",3,1,2,55,3,20,0,"2020-05-24",1650
"42",195452,"Ludwigsvorstadt-Isarvorstadt","munich","germany",48.1214,11.55984,"Apartment","Entire home/apt",5,2,6,95,10,30,0,"2020-05-24",2850
"43",196127,"Ludwigsvorstadt-Isarvorstadt","munich","germany",48.13274,11.57445,"Apartment","Private room",2,1,2,30,2,45,0,"2020-05-24",900
"44",196230,"Au-Haidhausen","munich","germany",48.12022,11.57653,"Apartment","Private room",2,1,1,39,1,14,1,"2020-05-24",1131
"45",196243,"Au-Haidhausen","munich","germany",48.12185,11.57651,"Apartment","Private room",2,1,0,45,1,30,30,"2020-05-24",0
"46",196265,"Au-Haidhausen","munich","germany",48.12106,11.57525,"Apartment","Entire home/apt",2,1,1,66,6,90,0,"2020-05-24",1980
"47",197197,"Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln","munich","germany",48.08941,11.51371,"House","Private room",2,1,1,48,2,30,0,"2020-05-24",1440
"48",197660,"Sendling-Westpark","munich","germany",48.11009,11.5307,"Apartment","Private room",2,1,1,50,2,30,30,"2020-05-24",0
"49",198942,"Berg am Laim","munich","germany",48.11929,11.64251,"Apartment","Private room",2,1,1,48,2,93,30,"2020-05-24",0
"50",198946,"Ramersdorf-Perlach","munich","germany",48.12325,11.60263,"Apartment","Entire home/apt",3,1,2,65,2,90,23,"2020-05-24",455
"51",198990,"Neuhausen-Nymphenburg","munich","germany",48.16001,11.51108,"Apartment","Entire home/apt",1,0,1,45,720,1125,0,"2020-05-24",1350
"52",199032,"Ludwigsvorstadt-Isarvorstadt","munich","germany",48.1271,11.57233,"Apartment","Entire home/apt",2,1,1,90,185,1125,29,"2020-05-24",90
"53",199066,"Untergiesing-Harlaching","munich","germany",48.09099,11.55945,"Apartment","Private room",7,2,6,60,1,10,12,"2020-05-24",1080
"54",199189,"Bogenhausen","munich","germany",48.15896,11.64821,"Apartment","Private room",1,1,0,25,1,730,0,"2020-05-24",750
"55",199256,"Maxvorstadt","munich","germany",48.14992,11.56211,"Apartment","Private room",1,1,1,32,3,90,26,"2020-05-24",128
"56",199797,"Schwabing-Freimann","munich","germany",48.16637,11.59016,"Apartment","Entire home/apt",2,1,2,85,1,40,0,"2020-05-24",2550
"57",199840,"Tudering-Riem","munich","germany",48.11712,11.67722,"Villa","Private room",2,1,2,49,1,780,24,"2020-05-24",294
"58",199850,"Berg am Laim","munich","germany",48.11906,11.64244,"Apartment","Private room",2,1,1,108,2,8,29,"2020-05-24",108
"59",199922,"Milbertshofen-Am Hart","munich","germany",48.18366,11.56935,"Apartment","Entire home/apt",3,2,3,98,20,730,0,"2020-05-24",2940
"60",200782,"Ludwigsvorstadt-Isarvorstadt","munich","germany",48.12533,11.55284,"Apartment","Private room",1,1,1,35,12,260,29,"2020-05-24",35
"61",200785,"Ludwigsvorstadt-Isarvorstadt","munich","germany",48.12526,11.55195,"Apartment","Private room",2,1,1,32,12,230,29,"2020-05-24",32
"62",200791,"Ludwigsvorstadt-Isarvorstadt","munich","germany",48.1259,11.55329,"Apartment","Private room",1,1,1,29,15,300,30,"2020-05-24",0
"63",200795,"Ludwigsvorstadt-Isarvorstadt","munich","germany",48.12402,11.55202,"Apartment","Private room",1,1,1,28,45,340,29,"2020-05-24",28
"64",200798,"Neuhausen-Nymphenburg","munich","germany",48.15885,11.54291,"Apartment","Shared room",7,1,4,34,4,270,29,"2020-05-24",34
"65",200866,"Laim","munich","germany",48.13615,11.51131,"Apartment","Entire home/apt",4,2,3,58,30,730,24,"2020-05-24",348
"66",201099,"Untergiesing-Harlaching","munich","germany",48.11803,11.57135,"Apartment","Entire home/apt",3,3,3,130,180,730,0,"2020-05-24",3900
"67",201829,"Bogenhausen","munich","germany",48.14143,11.65504,"Apartment","Entire home/apt",2,1,1,55,30,1125,1,"2020-05-24",1595
"68",204547,"Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln","munich","germany",48.10129,11.50138,"Apartment","Entire home/apt",2,1,1,55,89,365,23,"2020-05-24",385
"69",205381,"Bogenhausen","munich","germany",48.13909,11.60832,"Apartment","Entire home/apt",8,3,4,129,1,365,13,"2020-05-24",2193
"70",205393,"Bogenhausen","munich","germany",48.13909,11.60832,"Apartment","Entire home/apt",2,1,1,64,1,730,13,"2020-05-24",1088
"71",205401,"Bogenhausen","munich","germany",48.13909,11.60832,"Apartment","Entire home/apt",4,1,2,79,1,730,12,"2020-05-24",1422
"72",205415,"Bogenhausen","munich","germany",48.13909,11.60832,"Apartment","Entire home/apt",6,2,4,89,1,365,18,"2020-05-24",1068
"73",205431,"Schwanthalerhöhe","munich","germany",48.13661,11.53075,"Apartment","Entire home/apt",6,2,3,89,1,365,13,"2020-05-24",1513
"74",206288,"Obergiesing","munich","germany",48.11013,11.59559,"Condominium","Entire home/apt",4,0,2,120,4,125,7,"2020-05-24",2760
"75",207713,"Neuhausen-Nymphenburg","munich","germany",48.15075,11.53495,"Apartment","Entire home/apt",4,1,4,79,3,12,0,"2020-05-24",2370
"76",207827,"Neuhausen-Nymphenburg","munich","germany",48.15882,11.54156,"Apartment","Entire home/apt",5,1,3,190,4,340,1,"2020-05-24",5510
"77",210348,"Ludwigsvorstadt-Isarvorstadt","munich","germany",48.12401,11.56119,"Condominium","Private room",2,1,0,53,2,35,27,"2020-05-24",159
"78",211250,"Tudering-Riem","munich","germany",48.12471,11.69745,"Apartment","Entire home/apt",2,1,1,85,3,21,23,"2020-05-24",595
"79",211291,"Neuhausen-Nymphenburg","munich","germany",48.14496,11.5411,"Apartment","Entire home/apt",3,1,2,103,1,1125,0,"2020-05-24",3090
"80",211374,"Tudering-Riem","munich","germany",48.13192,11.70239,"Apartment","Entire home/apt",2,1,2,59,4,10,20,"2020-05-24",590
"81",211744,"Tudering-Riem","munich","germany",48.11186,11.7104,"House","Private room",1,1,1,45,1,14,27,"2020-05-24",135
"82",212482,"Sendling","munich","germany",48.11932,11.53937,"Apartment","Private room",2,1,1,38,2,90,30,"2020-05-24",0
"83",212517,"Sendling-Westpark","munich","germany",48.11822,11.52815,"Townhouse","Private room",2,1,1,66,1,30,30,"2020-05-24",0
"84",213707,"Altstadt-Lehel","munich","germany",48.13107,11.56944,"Apartment","Entire home/apt",3,2,2,330,3,365,30,"2020-05-24",0
"85",216240,"Altstadt-Lehel","munich","germany",48.13538,11.57182,"Boutique hotel","Hotel room",2,1,2,180,1,28,29,"2020-05-24",180
"86",216241,"Altstadt-Lehel","munich","germany",48.13655,11.57127,"Boutique hotel","Hotel room",2,1,2,160,1,28,0,"2020-05-24",4800
"87",216256,"Altstadt-Lehel","munich","germany",48.13645,11.57277,"Boutique hotel","Hotel room",2,1,2,160,1,28,29,"2020-05-24",160
"88",216259,"Altstadt-Lehel","munich","germany",48.13513,11.57253,"Boutique hotel","Hotel room",2,1,2,180,1,28,30,"2020-05-24",0
"89",216449,"Tudering-Riem","munich","germany",48.12752,11.67584,"Apartment","Shared room",3,1,2,250,7,365,0,"2020-05-24",7500
"90",216529,"Au-Haidhausen","munich","germany",48.13095,11.59341,"Apartment","Entire home/apt",2,1,1,139,2,60,5,"2020-05-24",3475
"91",216698,"Untergiesing-Harlaching","munich","germany",48.11497,11.56764,"Apartment","Entire home/apt",2,1,1,200,2,19,0,"2020-05-24",6000
"92",217148,"Feldmoching-Hasenbergl","munich","germany",48.19444,11.5346,"House","Private room",1,1,1,29,2,365,0,"2020-05-24",870
"93",217313,"Sendling-Westpark","munich","germany",48.12631,11.51334,"House","Entire home/apt",7,5,7,650,5,20,28,"2020-05-24",1300
"94",218080,"Au-Haidhausen","munich","germany",48.12552,11.5966,"Apartment","Entire home/apt",2,1,0,49,110,1124,0,"2020-05-24",1470
"95",218159,"Ramersdorf-Perlach","munich","germany",48.10572,11.60265,"Loft","Entire home/apt",2,1,1,40,3,30,0,"2020-05-24",1200
"96",218860,"Berg am Laim","munich","germany",48.12002,11.64067,"Apartment","Entire home/apt",4,2,4,150,2,30,26,"2020-05-24",600
"97",221635,"Untergiesing-Harlaching","munich","germany",48.11979,11.5714,"Apartment","Private room",6,3,0,54,3,365,26,"2020-05-24",216
"98",221777,"Maxvorstadt","munich","germany",48.15154,11.56084,"Apartment","Entire home/apt",3,1,1,81,2,28,0,"2020-05-24",2430
"99",222275,"Untergiesing-Harlaching","munich","germany",48.0871,11.55124,"House","Private room",2,1,1,42,3,1125,0,"2020-05-24",1260
"100",222924,"Tudering-Riem","munich","germany",48.10498,11.69839,"House","Private room",1,1,1,40,1,1125,29,"2020-05-24",40
"101",223041,"Ramersdorf-Perlach","munich","germany",48.08623,11.66085,"Apartment","Private room",1,1,1,65,7,90,30,"2020-05-24",0
"102",224209,"Obergiesing","munich","germany",48.11682,11.5821,"Apartment","Private room",2,1,1,38,7,90,0,"2020-05-24",1140
"103",225414,"Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln","munich","germany",48.0792,11.5113,"Apartment","Entire home/apt",3,1,2,65,2,365,30,"2020-05-24",0
"104",225421,"Untergiesing-Harlaching","munich","germany",48.08117,11.5518,"Apartment","Entire home/apt",2,1,1,50,2,365,23,"2020-05-24",350
"105",226540,"Laim","munich","germany",48.13862,11.51153,"Apartment","Entire home/apt",5,2,5,69,2,90,25,"2020-05-24",345
"106",226660,"Untergiesing-Harlaching","munich","germany",48.10824,11.57287,"Apartment","Entire home/apt",3,2,1,145,2,8,0,"2020-05-24",4350
"107",227043,"Obergiesing","munich","germany",48.11604,11.57661,"Apartment","Private room",2,1,1,40,3,14,0,"2020-05-24",1200
"108",227106,"Tudering-Riem","munich","germany",48.11169,11.70114,"Apartment","Entire home/apt",4,1,2,79,2,60,30,"2020-05-24",0
"109",227267,"Maxvorstadt","munich","germany",48.14932,11.56167,"Apartment","Private room",3,1,1,54,1,3,0,"2020-05-24",1620
"110",227892,"Tudering-Riem","munich","germany",48.13013,11.69965,"House","Private room",2,1,2,50,3,31,12,"2020-05-24",900
"111",228409,"Schwabing-West","munich","germany",48.16573,11.57609,"Apartment","Private room",2,1,1,56,2,40,0,"2020-05-24",1680
"112",228721,"Au-Haidhausen","munich","germany",48.12273,11.57738,"Apartment","Private room",2,1,2,95,5,40,1,"2020-05-24",2755
"113",228867,"Maxvorstadt","munich","germany",48.14468,11.56131,"Condominium","Entire home/apt",4,1,2,150,3,90,22,"2020-05-24",1200
"114",228877,"Laim","munich","germany",48.14335,11.49594,"Apartment","Entire home/apt",2,1,0,44,90,730,9,"2020-05-24",924
"115",229544,"Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln","munich","germany",48.09371,11.51144,"Apartment","Entire home/apt",4,1,3,75,2,365,30,"2020-05-24",0
"116",229545,"Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln","munich","germany",48.09554,11.51121,"Apartment","Entire home/apt",3,1,2,75,2,365,30,"2020-05-24",0
"117",230253,"Neuhausen-Nymphenburg","munich","germany",48.15891,11.54248,"Apartment","Private room",3,1,1,58,3,280,30,"2020-05-24",0
"118",230331,"Laim","munich","germany",48.14151,11.50382,"Apartment","Private room",2,1,1,120,1,2,30,"2020-05-24",0
