"","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","country","city","date","revenue_30"
"1",21974,"el Barri Gòtic",41.38077,2.17551,"Apartment","Private room",2,1,1,80,3,90,0,"spain","barcelona","2020-07-17",2400
"2",23197,"el Besòs i el Maresme",41.41291,2.22063,"Apartment","Entire home/apt",6,3,5,220,3,300,0,"spain","barcelona","2020-07-17",6600
"3",25786,"la Vila de Gràcia",41.40145,2.15645,"Apartment","Private room",2,1,1,35,1,730,0,"spain","barcelona","2020-07-17",1050
"4",32711,"el Camp d'en Grassot i Gràcia Nova",41.40566,2.17015,"Apartment","Entire home/apt",6,2,3,140,2,31,11,"spain","barcelona","2020-07-17",2660
"5",34241,"el Barri Gòtic",41.37916,2.17535,"Apartment","Private room",2,1,1,100,4,120,30,"spain","barcelona","2020-07-17",0
"6",34981,"el Barri Gòtic",41.37978,2.17623,"Apartment","Entire home/apt",9,4,6,199,4,365,23,"spain","barcelona","2020-07-17",1393
"7",35379,"l'Antiga Esquerra de l'Eixample",41.39036,2.15274,"Apartment","Private room",2,1,1,40,2,60,6,"spain","barcelona","2020-07-17",960
"8",35388,"l'Antiga Esquerra de l'Eixample",41.39065,2.15196,"Apartment","Private room",1,1,1,30,2,60,1,"spain","barcelona","2020-07-17",870
"9",35390,"l'Antiga Esquerra de l'Eixample",41.39153,2.15125,"Apartment","Private room",1,1,1,30,2,60,13,"spain","barcelona","2020-07-17",510
"10",35392,"l'Antiga Esquerra de l'Eixample",41.39082,2.15078,"Apartment","Private room",2,1,1,45,2,60,7,"spain","barcelona","2020-07-17",1035
"11",36763,"la Barceloneta",41.37906,2.19141,"Apartment","Private room",1,1,1,33,2,65,29,"spain","barcelona","2020-07-17",33
"12",40983,"la Dreta de l'Eixample",41.39631,2.16832,"Loft","Entire home/apt",4,1,1,130,2,364,21,"spain","barcelona","2020-07-17",1170
"13",41952,"el Camp d'en Grassot i Gràcia Nova",41.40565,2.16932,"Apartment","Entire home/apt",6,2,4,110,3,365,30,"spain","barcelona","2020-07-17",0
"14",46153,"Sant Pere, Santa Caterina i la Ribera",41.38776,2.17782,"Apartment","Entire home/apt",2,2,3,33,93,352,0,"spain","barcelona","2020-07-17",990
"15",49968,"el Camp d'en Grassot i Gràcia Nova",41.4057,2.17016,"Apartment","Entire home/apt",6,2,0,140,2,31,15,"spain","barcelona","2020-07-17",2100
"16",58512,"el Camp de l'Arpa del Clot",41.41129,2.18193,"Apartment","Entire home/apt",6,3,4,95,2,90,0,"spain","barcelona","2020-07-17",2850
"17",61444,"la Dreta de l'Eixample",41.38901,2.16552,"Apartment","Entire home/apt",6,2,4,105,2,90,25,"spain","barcelona","2020-07-17",525
