"","id","neighbourhood_cleansed","city","country","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","date","revenue_30"
"1",132068,"Donostia-San SebastiÃ¡n","euskadi","spain",43.3252,-1.97209,"Condominium","Entire home/apt",4,2,3,79,1,63,28,"2020-05-30",158
"2",142760,"Busturia","euskadi","spain",43.39062,-2.6947,"Apartment","Entire home/apt",2,1,1,91,5,730,30,"2020-05-30",0
"3",223952,"Ibarrangelu","euskadi","spain",43.39426,-2.64648,"House","Entire home/apt",8,4,9,150,7,760,30,"2020-05-30",0
"4",309802,"Donostia-San SebastiÃ¡n","euskadi","spain",43.31582,-2.00394,"Apartment","Entire home/apt",6,2,5,156,3,1125,22,"2020-05-30",1248
"5",309813,"Donostia-San SebastiÃ¡n","euskadi","spain",43.31478,-1.98734,"Apartment","Entire home/apt",8,3,5,180,31,124,28,"2020-05-30",360
"6",309828,"Donostia-San SebastiÃ¡n","euskadi","spain",43.31631,-1.98617,"Apartment","Entire home/apt",8,3,5,180,31,124,0,"2020-05-30",5400
"7",309830,"Donostia-San SebastiÃ¡n","euskadi","spain",43.31679,-1.98624,"Apartment","Private room",10,4,7,250,3,124,28,"2020-05-30",500
"8",329695,"Plentzia","euskadi","spain",43.40585,-2.94824,"House","Entire home/apt",6,3,6,180,3,365,30,"2020-05-30",0
"9",341691,"Bilbao","euskadi","spain",43.26317,-2.94752,"Apartment","Private room",2,1,1,60,2,90,27,"2020-05-30",180
"10",360571,"Donostia-San SebastiÃ¡n","euskadi","spain",43.30453,-1.97554,"Apartment","Entire home/apt",4,2,2,150,4,1125,30,"2020-05-30",0
"11",376823,"Oiartzun","euskadi","spain",43.2971,-1.86289,"Villa","Entire home/apt",12,6,10,800,4,1125,25,"2020-05-30",4000
"12",386301,"Donostia-San SebastiÃ¡n","euskadi","spain",43.32412,-1.97071,"Apartment","Entire home/apt",4,2,0,100,2,280,22,"2020-05-30",800
"13",386818,"Hondarribia","euskadi","spain",43.37335,-1.80619,"Guesthouse","Entire home/apt",1,0,1,9,1,1125,0,"2020-05-30",270
"14",393715,"Mutriku","euskadi","spain",43.3078,-2.38691,"Loft","Entire home/apt",3,2,2,70,2,1125,26,"2020-05-30",280
"15",404270,"Donostia-San SebastiÃ¡n","euskadi","spain",43.32442,-1.98384,"Hostel","Hotel room",1,1,1,80,7,90,0,"2020-05-30",2400
"16",417854,"Donostia-San SebastiÃ¡n","euskadi","spain",43.3053,-1.98,"Apartment","Private room",2,1,1,80,2,1125,29,"2020-05-30",80
"17",424487,"Gorliz","euskadi","spain",43.41362,-2.93662,"Loft","Entire home/apt",3,1,1,90,3,90,24,"2020-05-30",540
"18",429657,"Ibarrangelu","euskadi","spain",43.38659,-2.63097,"Apartment","Entire home/apt",3,2,2,120,2,30,20,"2020-05-30",1200
"19",429887,"Donostia-San SebastiÃ¡n","euskadi","spain",43.32489,-1.98353,"Hostel","Private room",2,1,1,130,7,180,0,"2020-05-30",3900
"20",430475,"Donostia-San SebastiÃ¡n","euskadi","spain",43.31274,-2.00474,"Apartment","Entire home/apt",5,3,3,147,6,365,0,"2020-05-30",4410
"21",443362,"Donostia-San SebastiÃ¡n","euskadi","spain",43.32466,-1.98436,"Hostel","Private room",1,1,1,80,3,210,0,"2020-05-30",2400
"22",452464,"Durango","euskadi","spain",43.15336,-2.61773,"House","Private room",7,3,5,130,2,30,0,"2020-05-30",3900
"23",456366,"Bilbao","euskadi","spain",43.26258,-2.9433,"Apartment","Private room",2,1,1,95,2,180,12,"2020-05-30",1710
"24",456706,"Bilbao","euskadi","spain",43.26456,-2.94349,"Apartment","Private room",2,1,1,75,2,1125,9,"2020-05-30",1575
"25",457366,"Donostia-San SebastiÃ¡n","euskadi","spain",43.32305,-1.98257,"Hostel","Private room",3,1,3,150,7,60,0,"2020-05-30",4500
"26",491403,"AbadiÃ±o","euskadi","spain",43.15173,-2.61799,"House","Private room",3,1,2,57,1,30,20,"2020-05-30",570
"27",492561,"Durango","euskadi","spain",43.15249,-2.61748,"House","Private room",5,2,4,93,2,30,21,"2020-05-30",837
"28",492633,"AbadiÃ±o","euskadi","spain",43.1538,-2.61728,"House","Private room",2,1,1,59,1,14,19,"2020-05-30",649
"29",512917,"Donostia-San SebastiÃ¡n","euskadi","spain",43.31542,-2.00173,"Apartment","Entire home/apt",4,2,0,160,2,30,3,"2020-05-30",4320
"30",533925,"Deba","euskadi","spain",43.28019,-2.32512,"Townhouse","Entire home/apt",8,3,5,225,5,30,16,"2020-05-30",3150
"31",534069,"Donostia-San SebastiÃ¡n","euskadi","spain",43.32352,-1.98504,"Apartment","Entire home/apt",2,1,1,70,32,1100,0,"2020-05-30",2100
"32",544285,"Donostia-San SebastiÃ¡n","euskadi","spain",43.30991,-2.00161,"Apartment","Private room",2,1,1,55,1,1125,30,"2020-05-30",0
"33",547513,"Donostia-San SebastiÃ¡n","euskadi","spain",43.32432,-1.97208,"Apartment","Private room",2,1,1,75,2,9,0,"2020-05-30",2250
"34",559545,"Labastida","euskadi","spain",42.58841,-2.7915,"Apartment","Entire home/apt",4,3,6,78,2,360,2,"2020-05-30",2184
"35",617702,"Deba","euskadi","spain",43.29081,-2.3562,"Apartment","Entire home/apt",7,3,4,90,3,30,26,"2020-05-30",360
"36",618478,"Donostia-San SebastiÃ¡n","euskadi","spain",43.30663,-1.97548,"Apartment","Entire home/apt",4,3,3,130,3,30,0,"2020-05-30",3900
