"","id","neighbourhood_cleansed","city","country","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","date","revenue_30"
"1",14551,"Girona","girona","spain",41.9965,2.83646,"Apartment","Private room",2,1,1,46,1,1125,29,"2020-06-29",46
"2",35801,"Quart","girona","spain",41.95395,2.89703,"Bed and breakfast","Private room",3,1,1,90,2,180,30,"2020-06-29",0
"3",41342,"El Port de la Selva","girona","spain",42.34655,3.20463,"Apartment","Entire home/apt",4,1,2,120,7,21,11,"2020-06-29",2280
"4",45398,"Begur","girona","spain",41.95568,3.20892,"House","Entire home/apt",6,3,4,80,1,730,14,"2020-06-29",1280
"5",45400,"Begur","girona","spain",41.95577,3.21096,"Apartment","Entire home/apt",4,1,2,65,1,730,16,"2020-06-29",910
"6",48764,"Torroella de Fluvià","girona","spain",42.17605,3.03974,"House","Entire home/apt",8,4,5,120,7,120,17,"2020-06-29",1560
"7",93343,"L'Escala","girona","spain",42.10405,3.14936,"House","Entire home/apt",7,3,5,150,2,365,28,"2020-06-29",300
"8",101580,"Lloret de Mar","girona","spain",41.70656,2.89015,"Villa","Entire home/apt",16,4,12,NA,5,30,19,"2020-06-29",0
"9",106704,"Llagostera","girona","spain",41.83631,2.937,"Farm stay","Entire home/apt",12,4,12,220,2,365,5,"2020-06-29",5500
"10",121666,"Torroella de Montgrí","girona","spain",42.00877,3.18954,"House","Entire home/apt",4,2,4,67,15,30,3,"2020-06-29",1809
"11",121962,"Llagostera","girona","spain",41.84104,2.94811,"Farm stay","Entire home/apt",16,7,16,490,2,1125,9,"2020-06-29",10290
"12",122273,"Llagostera","girona","spain",41.84102,2.95118,"Farm stay","Entire home/apt",4,1,4,110,2,1125,0,"2020-06-29",3300
"13",122371,"Pals","girona","spain",41.97454,3.17576,"House","Entire home/apt",6,3,3,290,7,47,28,"2020-06-29",580
"14",130159,"Blanes","girona","spain",41.6657,2.78242,"Apartment","Entire home/apt",5,2,3,92,6,28,4,"2020-06-29",2392
"15",131374,"Riudarenes","girona","spain",41.82069,2.71764,"House","Entire home/apt",8,4,5,188,2,30,28,"2020-06-29",376
"16",154339,"Lloret de Mar","girona","spain",41.7403,2.81844,"House","Entire home/apt",6,3,3,95,3,730,0,"2020-06-29",2850
"17",157327,"Forallac","girona","spain",41.94531,3.11247,"Villa","Entire home/apt",8,4,8,600,7,90,0,"2020-06-29",18000
"18",168832,"Saus","girona","spain",42.12516,2.93539,"House","Entire home/apt",10,5,7,65,5,31,0,"2020-06-29",1950
"19",179220,"Calonge","girona","spain",41.84794,3.10483,"Apartment","Entire home/apt",6,3,6,74,3,365,27,"2020-06-29",222
"20",199994,"Cadaqués","girona","spain",42.28834,3.28159,"Apartment","Entire home/apt",4,3,0,55,2,365,22,"2020-06-29",440
"21",236739,"Lloret de Mar","girona","spain",41.69322,2.82221,"Apartment","Entire home/apt",5,2,3,72,1,1125,0,"2020-06-29",2160
"22",254100,"Ventalló","girona","spain",42.14737,3.02763,"House","Entire home/apt",5,3,4,70,7,365,29,"2020-06-29",70
"23",262941,"Palafrugell","girona","spain",41.91841,3.21439,"Apartment","Entire home/apt",12,6,9,350,4,500,1,"2020-06-29",10150
"24",265647,"Capmany","girona","spain",42.37355,2.92054,"Apartment","Entire home/apt",6,3,5,175,7,14,6,"2020-06-29",4200
"25",273037,"Palafrugell","girona","spain",41.91128,3.15674,"House","Entire home/apt",3,1,1,80,2,30,2,"2020-06-29",2240
"26",280968,"Palamós","girona","spain",41.85922,3.14773,"Apartment","Entire home/apt",4,1,4,60,4,31,24,"2020-06-29",360
"27",285455,"Lloret de Mar","girona","spain",41.70803,2.86996,"Apartment","Entire home/apt",9,2,1,99,3,365,0,"2020-06-29",2970
"28",296563,"Calonge","girona","spain",41.84711,3.10563,"Apartment","Entire home/apt",8,3,6,74,3,365,5,"2020-06-29",1850
"29",304363,"Girona","girona","spain",41.99117,2.82355,"Apartment","Entire home/apt",5,2,4,80,2,180,27,"2020-06-29",240
"30",323402,"Lloret de Mar","girona","spain",41.71255,2.85571,"House","Entire home/apt",16,9,17,850,2,21,23,"2020-06-29",5950
"31",323679,"Castelló d'Empúries","girona","spain",42.24698,3.1256,"Apartment","Entire home/apt",4,2,3,55,14,30,0,"2020-06-29",1650
"32",336151,"Girona","girona","spain",41.97304,2.83103,"Apartment","Entire home/apt",4,2,2,75,2,1125,1,"2020-06-29",2175
"33",336886,"Lloret de Mar","girona","spain",41.71972,2.87587,"Apartment","Entire home/apt",4,3,3,100,5,1125,29,"2020-06-29",100
"34",342502,"Viladrau","girona","spain",41.84793,2.39315,"Apartment","Entire home/apt",6,3,5,95,7,1125,23,"2020-06-29",665
"35",349360,"Girona","girona","spain",41.98876,2.83008,"Apartment","Entire home/apt",2,1,2,71,3,21,3,"2020-06-29",1917
"36",359056,"Torroella de Montgrí","girona","spain",42.07944,3.11781,"House","Entire home/apt",8,3,5,150,2,15,15,"2020-06-29",2250
"37",378198,"Tossa de Mar","girona","spain",41.71809,2.92824,"House","Entire home/apt",9,4,6,120,2,1125,0,"2020-06-29",3600
"38",384326,"Cassà de la Selva","girona","spain",41.88737,2.88054,"Bed and breakfast","Private room",3,1,2,47,1,1125,6,"2020-06-29",1128
"39",386468,"Fontanals de Cerdanya","girona","spain",42.39768,1.92006,"Townhouse","Entire home/apt",6,3,5,90,31,120,29,"2020-06-29",90
"40",398377,"Begur","girona","spain",41.95506,3.20566,"House","Private room",5,2,7,55,1,30,16,"2020-06-29",770
"41",398498,"Roses","girona","spain",42.24432,3.1997,"Apartment","Entire home/apt",4,2,4,165,7,60,17,"2020-06-29",2145
"42",401885,"Cadaqués","girona","spain",42.28988,3.28225,"House","Entire home/apt",10,5,10,260,4,1125,0,"2020-06-29",7800
"43",406276,"Cadaqués","girona","spain",42.28955,3.2779,"Apartment","Entire home/apt",3,1,2,80,3,1125,8,"2020-06-29",1760
"44",406360,"Cadaqués","girona","spain",42.28822,3.2822,"Loft","Entire home/apt",2,1,2,63,2,1125,17,"2020-06-29",819
"45",406377,"Cadaqués","girona","spain",42.28982,3.28278,"Loft","Entire home/apt",2,1,2,68,3,365,19,"2020-06-29",748
"46",406398,"Cadaqués","girona","spain",42.28862,3.2818,"Apartment","Entire home/apt",3,1,2,90,3,365,19,"2020-06-29",990
"47",406418,"Cadaqués","girona","spain",42.28855,3.2807,"Condominium","Entire home/apt",3,1,2,97,2,365,18,"2020-06-29",1164
"48",406438,"Cadaqués","girona","spain",42.2886,3.28092,"Apartment","Entire home/apt",4,1,2,95,3,365,19,"2020-06-29",1045
"49",419252,"Cruïlles, Monells i Sant Sadurní de l'Heura","girona","spain",41.95508,3.01053,"House","Entire home/apt",10,4,7,121,3,270,18,"2020-06-29",1452
"50",424026,"Tossa de Mar","girona","spain",41.72036,2.93164,"Apartment","Entire home/apt",4,1,2,53,2,1125,26,"2020-06-29",212
"51",434435,"Calonge","girona","spain",41.83209,3.0848,"Apartment","Entire home/apt",4,2,4,85,5,60,8,"2020-06-29",1870
"52",438243,"Maçanet de Cabrenys","girona","spain",42.38423,2.74583,"Villa","Entire home/apt",10,4,10,204,3,30,9,"2020-06-29",4284
"53",438245,"L'Escala","girona","spain",42.12189,3.13551,"Apartment","Entire home/apt",4,2,3,50,4,1125,16,"2020-06-29",700
"54",440360,"La Cellera de Ter","girona","spain",41.98728,2.61517,"House","Private room",2,1,1,79,1,30,30,"2020-06-29",0
