"","id","neighbourhood_cleansed","city","country","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","date","revenue_30"
"1",6369,"Hispanoamérica","madrid","spain",40.45724,-3.67688,"Apartment","Private room",2,1,1,70,1,1125,30,"2020-07-17",0
"2",21853,"Cármenes","madrid","spain",40.40341,-3.74084,"Apartment","Private room",1,1,1,30,4,40,16,"2020-07-17",420
"3",23001,"Legazpi","madrid","spain",40.38695,-3.69304,"Apartment","Entire home/apt",6,3,5,50,15,730,1,"2020-07-17",1450
"4",24805,"Universidad","madrid","spain",40.42202,-3.70395,"Apartment","Entire home/apt",3,0,1,89,4,730,27,"2020-07-17",267
"5",24836,"Justicia","madrid","spain",40.41995,-3.69764,"Apartment","Entire home/apt",4,2,3,115,3,10,0,"2020-07-17",3450
"6",26825,"Legazpi","madrid","spain",40.38985,-3.69011,"House","Private room",1,1,1,25,2,1125,3,"2020-07-17",675
"7",30320,"Sol","madrid","spain",40.41552,-3.70346,"Apartment","Entire home/apt",2,1,2,65,5,180,30,"2020-07-17",0
"8",30478,"Embajadores","madrid","spain",40.40926,-3.70505,"Apartment","Private room",1,1,1,25,1,1124,29,"2020-07-17",25
"9",30959,"Embajadores","madrid","spain",40.41111,-3.70269,"Loft","Entire home/apt",2,1,1,54,3,730,0,"2020-07-17",1620
"10",40718,"Justicia","madrid","spain",40.41978,-3.6973,"Apartment","Entire home/apt",4,1,2,55,3,500,29,"2020-07-17",55
"11",40916,"Universidad","madrid","spain",40.42096,-3.70428,"Apartment","Entire home/apt",3,1,3,90,5,180,30,"2020-07-17",0
"12",59923,"Palacio","madrid","spain",40.41971,-3.71256,"Guest suite","Private room",1,1,1,40,1,30,15,"2020-07-17",600
"13",62423,"Justicia","madrid","spain",40.4208,-3.69878,"Apartment","Private room",3,1,2,45,1,90,30,"2020-07-17",0
"14",64131,"Peñagrande","madrid","spain",40.48409,-3.72257,"Apartment","Private room",2,1,2,20,2,1125,29,"2020-07-17",20
"15",70059,"Universidad","madrid","spain",40.42365,-3.70889,"Apartment","Entire home/apt",2,1,1,60,5,1125,0,"2020-07-17",1800
"16",70310,"Universidad","madrid","spain",40.42252,-3.7025,"Apartment","Entire home/apt",4,1,3,62,28,360,1,"2020-07-17",1798
"17",70315,"Palacio","madrid","spain",40.42193,-3.71036,"Apartment","Entire home/apt",4,2,3,75,28,180,14,"2020-07-17",1200
"18",70316,"Palacio","madrid","spain",40.42191,-3.71038,"Apartment","Entire home/apt",3,2,2,75,28,360,16,"2020-07-17",1050
"19",72150,"Embajadores","madrid","spain",40.4115,-3.70449,"Apartment","Entire home/apt",9,3,6,60,2,365,19,"2020-07-17",660
"20",72955,"Cortes","madrid","spain",40.41139,-3.69408,"Apartment","Entire home/apt",4,1,1,85,3,730,30,"2020-07-17",0
"21",74352,"Embajadores","madrid","spain",40.41075,-3.70759,"Apartment","Entire home/apt",4,1,2,80,8,1125,28,"2020-07-17",160
"22",75609,"Embajadores","madrid","spain",40.40743,-3.69719,"Apartment","Entire home/apt",3,1,2,63,3,365,28,"2020-07-17",126
"23",76617,"Universidad","madrid","spain",40.42686,-3.7094,"Apartment","Entire home/apt",5,1,3,102,3,365,0,"2020-07-17",3060
"24",82481,"Recoletos","madrid","spain",40.42315,-3.68279,"Apartment","Entire home/apt",2,1,1,60,3,365,0,"2020-07-17",1800
"25",84719,"Embajadores","madrid","spain",40.40865,-3.70534,"Apartment","Entire home/apt",2,1,1,60,1,1125,29,"2020-07-17",60
"26",86042,"Embajadores","madrid","spain",40.40939,-3.69812,"Apartment","Entire home/apt",5,3,3,100,2,365,24,"2020-07-17",600
"27",89954,"Palacio","madrid","spain",40.41218,-3.71369,"Loft","Entire home/apt",6,2,3,112,2,30,0,"2020-07-17",3360
"28",92920,"Justicia","madrid","spain",40.42422,-3.69538,"Apartment","Private room",2,1,1,55,2,365,28,"2020-07-17",110
"29",93100,"Universidad","madrid","spain",40.42378,-3.70248,"Apartment","Private room",3,1,2,25,1,1125,30,"2020-07-17",0
"30",96072,"Cuatro Caminos","madrid","spain",40.45559,-3.69421,"Apartment","Private room",2,1,1,25,3,365,29,"2020-07-17",25
"31",96807,"Palomeras Bajas","madrid","spain",40.38318,-3.65565,"Apartment","Private room",2,1,2,30,4,365,30,"2020-07-17",0
"32",100411,"Valverde","madrid","spain",40.50116,-3.67119,"Apartment","Entire home/apt",2,1,1,60,2,30,0,"2020-07-17",1800
"33",101507,"Embajadores","madrid","spain",40.40786,-3.70223,"Apartment","Entire home/apt",2,0,1,50,30,180,0,"2020-07-17",1500
"34",102040,"Pueblo Nuevo","madrid","spain",40.43331,-3.64355,"Apartment","Private room",1,1,1,20,3,90,29,"2020-07-17",20
"35",102091,"Trafalgar","madrid","spain",40.43158,-3.70071,"Serviced apartment","Entire home/apt",6,2,3,108,30,45,29,"2020-07-17",108
"36",102194,"Justicia","madrid","spain",40.42153,-3.69923,"Apartment","Entire home/apt",4,2,2,89,2,730,30,"2020-07-17",0
"37",103522,"Embajadores","madrid","spain",40.41158,-3.70607,"Apartment","Entire home/apt",2,0,2,68,4,1125,30,"2020-07-17",0
"38",103541,"Almagro","madrid","spain",40.43761,-3.69802,"Apartment","Entire home/apt",4,2,3,75,2,90,11,"2020-07-17",1425
"39",109369,"Pilar","madrid","spain",40.48313,-3.71017,"Apartment","Private room",1,1,1,40,1,730,8,"2020-07-17",880
"40",114854,"Rios Rosas","madrid","spain",40.43825,-3.69388,"Apartment","Entire home/apt",4,1,2,75,2,365,30,"2020-07-17",0
"41",119389,"Palacio","madrid","spain",40.40958,-3.71042,"Apartment","Entire home/apt",4,2,1,85,3,365,0,"2020-07-17",2550
"42",120293,"Palacio","madrid","spain",40.41143,-3.70912,"Apartment","Private room",2,1,2,35,1,365,30,"2020-07-17",0
"43",120762,"Universidad","madrid","spain",40.42381,-3.70571,"Apartment","Private room",2,1,1,29,1,1125,1,"2020-07-17",841
"44",123864,"Embajadores","madrid","spain",40.41001,-3.70704,"Apartment","Entire home/apt",3,0,2,51,1,365,1,"2020-07-17",1479
"45",127819,"Cortes","madrid","spain",40.41466,-3.70162,"Apartment","Entire home/apt",8,2,4,174,4,700,23,"2020-07-17",1218
"46",132428,"Embajadores","madrid","spain",40.41034,-3.69836,"Apartment","Private room",1,1,1,30,3,730,30,"2020-07-17",0
"47",136058,"Los Angeles","madrid","spain",40.35735,-3.69634,"Apartment","Private room",1,1,1,21,1,365,0,"2020-07-17",630
"48",154224,"Cortes","madrid","spain",40.41392,-3.70049,"Apartment","Entire home/apt",4,1,3,69,3,330,0,"2020-07-17",2070
"49",163429,"Arapiles","madrid","spain",40.43628,-3.70526,"Loft","Entire home/apt",4,1,2,65,90,365,0,"2020-07-17",1950
"50",167183,"Piovera","madrid","spain",40.45386,-3.64743,"Chalet","Private room",2,1,1,45,1,5,28,"2020-07-17",90
"51",169325,"Puerta del Angel","madrid","spain",40.40915,-3.72416,"Apartment","Private room",6,3,6,18,2,730,30,"2020-07-17",0
"52",169719,"Cortes","madrid","spain",40.41515,-3.70003,"Apartment","Private room",2,4,3,25,2,730,30,"2020-07-17",0
"53",170750,"Universidad","madrid","spain",40.42386,-3.70489,"Apartment","Entire home/apt",4,2,4,90,25,30,21,"2020-07-17",810
"54",171144,"Palacio","madrid","spain",40.41607,-3.71101,"Apartment","Entire home/apt",3,2,4,135,2,30,24,"2020-07-17",810
"55",177500,"Universidad","madrid","spain",40.42762,-3.70323,"Apartment","Entire home/apt",2,0,1,50,5,365,0,"2020-07-17",1500
"56",177523,"Universidad","madrid","spain",40.42902,-3.70398,"Apartment","Entire home/apt",2,0,1,50,5,90,0,"2020-07-17",1500
"57",177850,"Universidad","madrid","spain",40.42623,-3.70462,"Apartment","Private room",3,1,2,19,4,1125,30,"2020-07-17",0
"58",183309,"Justicia","madrid","spain",40.42397,-3.69463,"Other","Entire home/apt",8,3,3,90,1,730,0,"2020-07-17",2700
"59",183346,"Justicia","madrid","spain",40.42339,-3.69475,"Apartment","Private room",2,1,1,30,1,730,0,"2020-07-17",900
"60",183353,"Justicia","madrid","spain",40.42259,-3.69394,"Apartment","Private room",2,1,1,30,1,365,0,"2020-07-17",900
"61",183435,"Justicia","madrid","spain",40.42396,-3.69545,"Apartment","Entire home/apt",8,3,NA,89,1,730,0,"2020-07-17",2670
"62",191661,"Sol","madrid","spain",40.41516,-3.70731,"Loft","Entire home/apt",3,1,1,76,2,1000,1,"2020-07-17",2204
"63",196197,"Palacio","madrid","spain",40.41088,-3.71098,"Apartment","Entire home/apt",4,1,1,55,2,1125,21,"2020-07-17",495
"64",199016,"Universidad","madrid","spain",40.42538,-3.70505,"Apartment","Private room",2,1,1,35,2,190,29,"2020-07-17",35
"65",199201,"Embajadores","madrid","spain",40.41319,-3.7024,"Apartment","Private room",2,1,1,75,3,30,29,"2020-07-17",75
"66",200828,"Castellana","madrid","spain",40.43186,-3.68515,"Apartment","Entire home/apt",8,2,7,140,7,1125,30,"2020-07-17",0
"67",201033,"Universidad","madrid","spain",40.42384,-3.70686,"Apartment","Private room",2,1,1,40,1,1125,29,"2020-07-17",40
"68",204570,"Cortes","madrid","spain",40.41476,-3.69531,"Apartment","Entire home/apt",5,2,2,100,5,365,0,"2020-07-17",3000
"69",205199,"Universidad","madrid","spain",40.42063,-3.70539,"Condominium","Entire home/apt",2,0,1,85,3,365,0,"2020-07-17",2550
"70",207275,"Argüelles","madrid","spain",40.42973,-3.72118,"Apartment","Private room",1,1,1,50,10,365,30,"2020-07-17",0
"71",209373,"Embajadores","madrid","spain",40.41273,-3.70324,"Apartment","Private room",1,1,1,30,7,365,23,"2020-07-17",210
"72",209780,"Abrantes","madrid","spain",40.37935,-3.73162,"Apartment","Entire home/apt",9,3,6,78,1,90,7,"2020-07-17",1794
"73",211444,"Canillas","madrid","spain",40.45856,-3.64811,"Apartment","Private room",2,1,1,55,2,365,30,"2020-07-17",0
"74",214000,"Justicia","madrid","spain",40.42333,-3.69705,"Loft","Entire home/apt",6,2,2,95,2,500,1,"2020-07-17",2755
"75",217674,"Sol","madrid","spain",40.41538,-3.70741,"Apartment","Entire home/apt",8,2,6,145,3,1125,18,"2020-07-17",1740
"76",219303,"Universidad","madrid","spain",40.42377,-3.70241,"Apartment","Private room",3,3,2,21,1,1125,30,"2020-07-17",0
"77",225462,"Cortes","madrid","spain",40.41518,-3.6998,"Apartment","Private room",2,1,1,28,2,200,30,"2020-07-17",0
"78",225489,"Arapiles","madrid","spain",40.43423,-3.70703,"Apartment","Private room",1,1,1,25,25,365,29,"2020-07-17",25
"79",229664,"Embajadores","madrid","spain",40.40881,-3.70092,"Apartment","Entire home/apt",3,1,2,55,2,365,12,"2020-07-17",990
"80",231861,"Trafalgar","madrid","spain",40.43684,-3.70225,"Apartment","Private room",1,1,1,25,1,30,28,"2020-07-17",50
"81",240128,"San Isidro","madrid","spain",40.39376,-3.72483,"Apartment","Private room",2,1,2,25,5,30,0,"2020-07-17",750
"82",256004,"Sol","madrid","spain",40.41428,-3.70767,"Apartment","Entire home/apt",12,3,9,80,2,300,30,"2020-07-17",0
"83",256842,"Aluche","madrid","spain",40.38574,-3.75062,"Apartment","Entire home/apt",4,2,3,100,90,1125,29,"2020-07-17",100
"84",260656,"Embajadores","madrid","spain",40.40743,-3.70114,"Apartment","Entire home/apt",4,1,1,85,7,365,0,"2020-07-17",2550
"85",261878,"Universidad","madrid","spain",40.42325,-3.70183,"Loft","Entire home/apt",2,1,1,65,1,28,29,"2020-07-17",65
"86",263748,"Valdefuentes","madrid","spain",40.47142,-3.62881,"Loft","Entire home/apt",3,2,2,80,3,365,30,"2020-07-17",0
