"","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","country","city","date","revenue_30"
"1",6369,"Hispanoamérica",40.45724,-3.67688,"Private room in apartment","Private room",2,1,1,45,1,1125,30,"spain","madrid","2020-09-13",0
"2",21853,"Cármenes",40.40341,-3.74084,"Private room in apartment","Private room",1,1,1,31.43,4,40,29,"spain","madrid","2020-09-13",31.43
"3",23001,"Legazpi",40.38695,-3.69304,"Entire apartment","Entire home/apt",6,3,5,60,15,730,14,"spain","madrid","2020-09-13",960
"4",24805,"Universidad",40.42202,-3.70395,"Entire apartment","Entire home/apt",3,NA,1,92,4,730,27,"spain","madrid","2020-09-13",276
"5",24836,"Justicia",40.41995,-3.69764,"Entire apartment","Entire home/apt",4,2,3,115,3,10,14,"spain","madrid","2020-09-13",1840
"6",26825,"Legazpi",40.38985,-3.69011,"Private room in house","Private room",1,1,1,26,2,1125,30,"spain","madrid","2020-09-13",0
"7",30320,"Sol",40.41552,-3.70346,"Entire apartment","Entire home/apt",2,1,2,65,5,180,30,"spain","madrid","2020-09-13",0
"8",30959,"Embajadores",40.41111,-3.70269,"Entire loft","Entire home/apt",2,1,1,54,3,730,0,"spain","madrid","2020-09-13",1620
"9",37859,"Palacio",40.4198,-3.71078,"Entire apartment","Entire home/apt",5,2,3,140,3,730,30,"spain","madrid","2020-09-13",0
"10",40718,"Justicia",40.41978,-3.6973,"Entire apartment","Entire home/apt",4,1,2,71,3,500,0,"spain","madrid","2020-09-13",2130
"11",40916,"Universidad",40.42096,-3.70428,"Entire apartment","Entire home/apt",3,1,3,90,5,180,30,"spain","madrid","2020-09-13",0
"12",59923,"Palacio",40.41971,-3.71256,"Private room in guest suite","Private room",1,1,1,40,1,30,30,"spain","madrid","2020-09-13",0
"13",62423,"Justicia",40.4208,-3.69878,"Private room in apartment","Private room",3,1,2,26,1,90,30,"spain","madrid","2020-09-13",0
"14",64131,"Peñagrande",40.48409,-3.72257,"Private room in apartment","Private room",2,1,2,21,2,1125,21,"spain","madrid","2020-09-13",189
"15",70059,"Universidad",40.42365,-3.70889,"Entire apartment","Entire home/apt",2,1,1,55,5,365,0,"spain","madrid","2020-09-13",1650
"16",70310,"Universidad",40.42252,-3.7025,"Entire apartment","Entire home/apt",4,1,3,66,28,360,29,"spain","madrid","2020-09-13",66
"17",70316,"Palacio",40.42191,-3.71038,"Entire apartment","Entire home/apt",3,2,2,75,28,360,30,"spain","madrid","2020-09-13",0
"18",72150,"Embajadores",40.4115,-3.70449,"Entire apartment","Entire home/apt",5,3,6,79,2,1125,18,"spain","madrid","2020-09-13",948
"19",72955,"Cortes",40.41139,-3.69408,"Entire apartment","Entire home/apt",4,1,1,115,3,730,30,"spain","madrid","2020-09-13",0
"20",74352,"Embajadores",40.41075,-3.70759,"Entire apartment","Entire home/apt",4,1,2,80,8,1125,28,"spain","madrid","2020-09-13",160
"21",75609,"Embajadores",40.40743,-3.69719,"Entire apartment","Entire home/apt",3,1,2,64,3,365,0,"spain","madrid","2020-09-13",1920
"22",82481,"Recoletos",40.42315,-3.68279,"Entire apartment","Entire home/apt",2,1,1,63,3,365,0,"spain","madrid","2020-09-13",1890
"23",84719,"Embajadores",40.40865,-3.70534,"Entire apartment","Entire home/apt",2,1,1,70,1,1125,29,"spain","madrid","2020-09-13",70
"24",86042,"Embajadores",40.40939,-3.69812,"Entire apartment","Entire home/apt",5,3,3,76,2,365,30,"spain","madrid","2020-09-13",0
"25",89954,"Palacio",40.41218,-3.71369,"Entire loft","Entire home/apt",6,2,3,114,2,30,30,"spain","madrid","2020-09-13",0
"26",92920,"Justicia",40.42422,-3.69538,"Private room in apartment","Private room",2,1,1,55,2,365,28,"spain","madrid","2020-09-13",110
"27",93100,"Universidad",40.42378,-3.70248,"Private room in apartment","Private room",3,1,2,26.86,1,1125,30,"spain","madrid","2020-09-13",0
"28",96807,"Palomeras Bajas",40.38318,-3.65565,"Private room in apartment","Private room",2,1,2,31,4,365,30,"spain","madrid","2020-09-13",0
"29",100411,"Valverde",40.50116,-3.67119,"Entire apartment","Entire home/apt",2,1,1,60,2,30,0,"spain","madrid","2020-09-13",1800
"30",101507,"Embajadores",40.40786,-3.70223,"Entire apartment","Entire home/apt",2,NA,1,50,30,180,0,"spain","madrid","2020-09-13",1500
"31",102040,"Pueblo Nuevo",40.43331,-3.64355,"Private room in apartment","Private room",1,1,1,19,3,90,0,"spain","madrid","2020-09-13",570
"32",102194,"Justicia",40.42153,-3.69923,"Entire apartment","Entire home/apt",4,2,2,96,2,730,0,"spain","madrid","2020-09-13",2880
"33",103522,"Embajadores",40.41158,-3.70607,"Entire apartment","Entire home/apt",2,NA,2,72,4,1125,30,"spain","madrid","2020-09-13",0
"34",103541,"Almagro",40.43761,-3.69802,"Entire apartment","Entire home/apt",4,2,3,75,2,90,0,"spain","madrid","2020-09-13",2250
"35",114854,"Rios Rosas",40.43825,-3.69388,"Entire apartment","Entire home/apt",4,1,2,75,2,365,5,"spain","madrid","2020-09-13",1875
"36",119389,"Palacio",40.40958,-3.71042,"Entire apartment","Entire home/apt",4,2,1,117,3,365,9,"spain","madrid","2020-09-13",2457
"37",120293,"Palacio",40.41143,-3.70912,"Private room in apartment","Private room",2,1,2,23,1,365,30,"spain","madrid","2020-09-13",0
"38",120762,"Universidad",40.42381,-3.70571,"Private room in apartment","Private room",2,1,1,28,1,1125,18,"spain","madrid","2020-09-13",336
"39",123864,"Embajadores",40.41001,-3.70704,"Entire apartment","Entire home/apt",3,NA,2,50,1,365,29,"spain","madrid","2020-09-13",50
"40",127819,"Cortes",40.41466,-3.70162,"Entire apartment","Entire home/apt",8,2,4,130,4,700,30,"spain","madrid","2020-09-13",0
