"","id","neighbourhood_cleansed","city","country","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","date","revenue_30"
"1",96033,"Este","malaga","spain",36.72031,-4.35627,"Apartment","Entire home/apt",3,2,2,49,3,1125,3,"2020-06-30",1323
"2",131725,"Carretera de Cadiz","malaga","spain",36.70658,-4.43705,"Apartment","Entire home/apt",3,2,3,37,4,180,0,"2020-06-30",1110
"3",155696,"Centro","malaga","spain",36.72723,-4.4072,"Condominium","Entire home/apt",5,3,5,180,3,365,22,"2020-06-30",1440
"4",159650,"Ciudad Jardin","malaga","spain",36.74604,-4.41747,"Apartment","Entire home/apt",6,3,6,60,7,30,14,"2020-06-30",960
"5",166473,"Este","malaga","spain",36.71934,-4.35942,"Apartment","Private room",3,1,0,19,5,365,0,"2020-06-30",570
"6",212845,"Este","malaga","spain",36.72606,-4.36541,"Apartment","Shared room",2,1,2,35,2,90,20,"2020-06-30",350
"7",229511,"Este","malaga","spain",36.79087,-4.38198,"House","Entire home/apt",12,4,10,200,5,365,21,"2020-06-30",1800
"8",340024,"Centro","malaga","spain",36.72813,-4.41422,"Apartment","Entire home/apt",2,1,2,47,3,90,16,"2020-06-30",658
"9",358541,"Centro","malaga","spain",36.72338,-4.42208,"Apartment","Entire home/apt",2,1,1,44,2,366,11,"2020-06-30",836
"10",412798,"Teatinos-Universidad","malaga","spain",36.72369,-4.46125,"Apartment","Entire home/apt",7,4,0,115,5,1124,13,"2020-06-30",1955
"11",421077,"Centro","malaga","spain",36.72117,-4.42526,"Apartment","Entire home/apt",2,1,1,48,1,1125,30,"2020-06-30",0
"12",422922,"Centro","malaga","spain",36.72283,-4.42571,"Apartment","Entire home/apt",4,2,2,40,1,365,24,"2020-06-30",240
"13",427860,"Centro","malaga","spain",36.73232,-4.4153,"House","Private room",4,2,4,120,2,1125,29,"2020-06-30",120
"14",461508,"Centro","malaga","spain",36.72292,-4.42331,"Apartment","Entire home/apt",4,1,3,55,2,1125,30,"2020-06-30",0
"15",505688,"Centro","malaga","spain",36.72526,-4.41821,"Loft","Entire home/apt",4,2,2,65,3,1125,30,"2020-06-30",0
"16",507961,"Centro","malaga","spain",36.72433,-4.41834,"Loft","Entire home/apt",2,1,1,60,3,1125,30,"2020-06-30",0
"17",508787,"Centro","malaga","spain",36.7248,-4.41913,"Loft","Entire home/apt",2,1,1,50,3,1125,30,"2020-06-30",0
"18",509073,"Centro","malaga","spain",36.7248,-4.41913,"Loft","Entire home/apt",2,1,1,50,3,1125,30,"2020-06-30",0
"19",550804,"Centro","malaga","spain",36.71643,-4.41103,"Apartment","Entire home/apt",2,0,0,300,5,1125,20,"2020-06-30",3000
"20",551603,"Carretera de Cadiz","malaga","spain",36.69488,-4.44054,"Apartment","Entire home/apt",9,4,6,140,4,90,22,"2020-06-30",1120
