"","id","neighbourhood_cleansed","city","country","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","date","revenue_30"
"1",44085,"Es Mercadal","menorca","spain",40.00946,4.20026,"Villa","Entire home/apt",6,3,5,99,5,550,27,"2020-06-30",297
"2",102558,"Ciutadella de Menorca","menorca","spain",39.94273,3.96278,"Apartment","Entire home/apt",5,2,5,50,7,30,21,"2020-06-30",450
"3",148138,"Ciutadella de Menorca","menorca","spain",40.00222,3.79919,"Apartment","Entire home/apt",6,2,3,49,1,365,18,"2020-06-30",588
"4",245722,"Alaior","menorca","spain",39.89677,4.14912,"Villa","Private room",8,3,5,200,3,365,15,"2020-06-30",3000
"5",285865,"Ciutadella de Menorca","menorca","spain",40.00088,3.79955,"Apartment","Entire home/apt",4,1,1,69,4,1125,10,"2020-06-30",1380
"6",294398,"Alaior","menorca","spain",39.89089,4.11607,"House","Entire home/apt",11,6,9,450,3,365,30,"2020-06-30",0
"7",295705,"Alaior","menorca","spain",39.89183,4.11577,"Cottage","Entire home/apt",16,11,0,NA,2,360,25,"2020-06-30",0
"8",325641,"Mahón","menorca","spain",39.8363,4.19367,"House","Entire home/apt",6,3,6,189,3,30,27,"2020-06-30",567
"9",334376,"Ciutadella de Menorca","menorca","spain",40.00506,3.83711,"House","Entire home/apt",4,3,3,70,3,1125,29,"2020-06-30",70
"10",357026,"Alaior","menorca","spain",39.90397,4.07033,"Apartment","Entire home/apt",4,2,4,75,5,1125,4,"2020-06-30",1950
"11",358378,"Alaior","menorca","spain",39.90178,4.07674,"Apartment","Entire home/apt",5,2,3,40,5,60,7,"2020-06-30",920
"12",366358,"Ciutadella de Menorca","menorca","spain",40.03523,3.96514,"House","Entire home/apt",14,7,7,495,3,1125,0,"2020-06-30",14850
"13",366636,"Alaior","menorca","spain",39.90258,4.07567,"Apartment","Entire home/apt",4,2,4,100,5,365,4,"2020-06-30",2600
"14",370676,"Ciutadella de Menorca","menorca","spain",40.00286,3.8374,"Townhouse","Entire home/apt",8,4,0,400,2,1125,17,"2020-06-30",5200
"15",372756,"Alaior","menorca","spain",39.87428,4.13118,"House","Entire home/apt",6,3,4,500,10,365,30,"2020-06-30",0
"16",382144,"Ciutadella de Menorca","menorca","spain",40.02229,3.94258,"Cabin","Entire home/apt",2,1,1,60,3,1125,25,"2020-06-30",300
"17",386067,"Alaior","menorca","spain",39.90435,4.07296,"Condominium","Entire home/apt",5,3,5,70,7,1125,22,"2020-06-30",560
"18",394135,"Ciutadella de Menorca","menorca","spain",40.01474,3.84365,"Cottage","Entire home/apt",4,2,3,160,7,30,6,"2020-06-30",3840
"19",403664,"Ciutadella de Menorca","menorca","spain",39.99328,3.8312,"House","Entire home/apt",4,2,0,142,3,1125,23,"2020-06-30",994
"20",421030,"Ciutadella de Menorca","menorca","spain",40.00662,3.84296,"Loft","Entire home/apt",2,1,1,25,3,1125,30,"2020-06-30",0
"21",434190,"Ciutadella de Menorca","menorca","spain",39.9236,3.82653,"Apartment","Entire home/apt",2,1,0,60,4,60,18,"2020-06-30",720
"22",459265,"Es Mercadal","menorca","spain",40.01391,4.19865,"House","Entire home/apt",6,3,5,99,5,300,0,"2020-06-30",2970
"23",476724,"Ciutadella de Menorca","menorca","spain",39.9433,3.96275,"Apartment","Entire home/apt",4,2,4,45,5,180,25,"2020-06-30",225
"24",494480,"Ciutadella de Menorca","menorca","spain",39.99955,3.79833,"Apartment","Entire home/apt",4,1,1,55,1,365,25,"2020-06-30",275
"25",516153,"Mahón","menorca","spain",39.89091,4.29592,"House","Entire home/apt",6,3,6,198,15,365,0,"2020-06-30",5940
"26",517301,"Mahón","menorca","spain",39.93416,4.24318,"Cottage","Entire home/apt",4,2,3,160,2,60,8,"2020-06-30",3520
"27",527985,"Ciutadella de Menorca","menorca","spain",39.9689,3.83591,"House","Entire home/apt",8,4,6,120,5,60,20,"2020-06-30",1200
"28",549304,"Ciutadella de Menorca","menorca","spain",40.00272,3.8382,"House","Entire home/apt",8,5,11,101,5,30,3,"2020-06-30",2727
"29",580840,"Ciutadella de Menorca","menorca","spain",40.00094,3.83733,"House","Entire home/apt",4,2,3,70,5,30,18,"2020-06-30",840
"30",589898,"Ciutadella de Menorca","menorca","spain",39.99182,3.83059,"House","Entire home/apt",12,5,9,130,7,30,0,"2020-06-30",3900
"31",596553,"Es Mercadal","menorca","spain",39.97333,4.15161,"House","Entire home/apt",2,1,1,120,7,90,0,"2020-06-30",3600
"32",636272,"Ciutadella de Menorca","menorca","spain",39.92839,3.83645,"Apartment","Entire home/apt",6,2,3,100,5,1125,15,"2020-06-30",1500
"33",682506,"Ciutadella de Menorca","menorca","spain",39.96769,3.83153,"Apartment","Entire home/apt",3,2,3,65,2,100,19,"2020-06-30",715
"34",725695,"Alaior","menorca","spain",39.93534,4.13891,"Cottage","Entire home/apt",13,6,15,220,2,1125,24,"2020-06-30",1320
"35",854050,"Ciutadella de Menorca","menorca","spain",40.00309,3.80649,"Chalet","Entire home/apt",10,4,8,450,7,30,20,"2020-06-30",4500
"36",854051,"Ciutadella de Menorca","menorca","spain",40.0025,3.80652,"Chalet","Entire home/apt",10,4,8,450,5,30,20,"2020-06-30",4500
"37",864172,"Es Mercadal","menorca","spain",40.05232,4.10984,"Apartment","Entire home/apt",4,1,2,110,15,365,6,"2020-06-30",2640
"38",877147,"Ciutadella de Menorca","menorca","spain",40.00094,3.83381,"Loft","Entire home/apt",4,1,2,99,5,60,16,"2020-06-30",1386
"39",877183,"Ciutadella de Menorca","menorca","spain",39.99795,3.84043,"Loft","Entire home/apt",2,0,1,66,5,1125,6,"2020-06-30",1584
"40",920389,"Sant Lluís","menorca","spain",39.83959,4.26124,"Cottage","Entire home/apt",10,5,9,270,3,90,28,"2020-06-30",540
"41",932244,"Es Mercadal","menorca","spain",40.00442,4.19521,"House","Private room",2,1,1,57,5,12,22,"2020-06-30",456
"42",932315,"Es Mercadal","menorca","spain",40.00474,4.19477,"House","Private room",2,1,1,55,5,12,29,"2020-06-30",55
"43",954903,"Mahón","menorca","spain",39.87657,4.26157,"House","Entire home/apt",8,5,5,240,7,30,28,"2020-06-30",480
"44",958828,"Es Mercadal","menorca","spain",40.0345,4.1647,"Apartment","Entire home/apt",6,3,6,95,3,300,18,"2020-06-30",1140
"45",959071,"Ciutadella de Menorca","menorca","spain",40.00141,3.80019,"Apartment","Entire home/apt",4,2,3,50,3,60,24,"2020-06-30",300
"46",965059,"Sant Lluís","menorca","spain",39.81885,4.24626,"Villa","Entire home/apt",8,4,8,350,8,1125,30,"2020-06-30",0
"47",967834,"Ciutadella de Menorca","menorca","spain",39.99804,3.84306,"House","Entire home/apt",7,3,4,113,2,60,7,"2020-06-30",2599
"48",976380,"Sant Lluís","menorca","spain",39.8204,4.2472,"Apartment","Entire home/apt",4,2,3,75,3,365,14,"2020-06-30",1200
"49",976381,"Sant Lluís","menorca","spain",39.82071,4.24785,"Apartment","Entire home/apt",4,2,3,69,3,365,11,"2020-06-30",1311
"50",976386,"Sant Lluís","menorca","spain",39.82108,4.24738,"Apartment","Entire home/apt",4,2,3,55,3,365,8,"2020-06-30",1210
"51",994133,"Ciutadella de Menorca","menorca","spain",39.94053,3.96061,"Townhouse","Entire home/apt",4,2,3,52,3,30,30,"2020-06-30",0
"52",999469,"Ciutadella de Menorca","menorca","spain",39.92813,3.83165,"Apartment","Entire home/apt",5,2,4,60,1,1125,30,"2020-06-30",0
"53",1029964,"Es Mercadal","menorca","spain",40.02464,4.18634,"Cottage","Entire home/apt",8,4,6,95,3,100,20,"2020-06-30",950
"54",1044166,"Es Mercadal","menorca","spain",40.0219,4.18067,"House","Entire home/apt",6,3,6,215,4,1125,30,"2020-06-30",0
"55",1051299,"Sant Lluís","menorca","spain",39.81527,4.24737,"Townhouse","Entire home/apt",4,3,4,126,4,365,10,"2020-06-30",2520
"56",1052325,"Ciutadella de Menorca","menorca","spain",39.9299,3.82455,"Condominium","Entire home/apt",4,1,4,70,5,28,29,"2020-06-30",70
"57",1053577,"Ciutadella de Menorca","menorca","spain",40.00219,3.79922,"House","Entire home/apt",4,2,0,125,7,30,4,"2020-06-30",3250
"58",1054514,"Mahón","menorca","spain",39.85053,4.17163,"Villa","Entire home/apt",8,4,7,110,3,1125,24,"2020-06-30",660
"59",1054742,"Ciutadella de Menorca","menorca","spain",40.05278,3.88865,"House","Entire home/apt",10,5,7,244,1,1125,25,"2020-06-30",1220
"60",1065016,"Ciutadella de Menorca","menorca","spain",40.05099,3.88868,"Apartment","Entire home/apt",6,3,4,125,5,30,10,"2020-06-30",2500
"61",1074055,"Sant Lluís","menorca","spain",39.82896,4.21128,"Apartment","Entire home/apt",4,0,3,120,1,1125,16,"2020-06-30",1680
"62",1141365,"Sant Lluís","menorca","spain",39.84173,4.25724,"Cottage","Entire home/apt",10,5,6,360,4,1125,1,"2020-06-30",10440
"63",1162522,"Ciutadella de Menorca","menorca","spain",40.00259,3.83603,"House","Entire home/apt",6,2,6,70,1,365,17,"2020-06-30",910
"64",1208231,"Ciutadella de Menorca","menorca","spain",39.9416,3.9601,"Townhouse","Entire home/apt",4,2,3,52,3,30,30,"2020-06-30",0
"65",1211972,"Es Mercadal","menorca","spain",40.0543,4.05749,"House","Entire home/apt",12,4,11,250,5,1125,14,"2020-06-30",4000
"66",1213474,"Es Mercadal","menorca","spain",40.02167,4.17743,"Apartment","Entire home/apt",6,2,5,50,7,1125,1,"2020-06-30",1450
"67",1217315,"Es Castell","menorca","spain",39.85642,4.29542,"Tiny house","Entire home/apt",4,1,1,98,5,29,0,"2020-06-30",2940
"68",1225705,"Es Mercadal","menorca","spain",40.01368,4.18734,"House","Entire home/apt",6,4,6,350,10,1125,17,"2020-06-30",4550
"69",1229737,"Ciutadella de Menorca","menorca","spain",39.99995,3.82949,"House","Entire home/apt",6,3,4,100,3,1125,17,"2020-06-30",1300
"70",1230705,"Ciutadella de Menorca","menorca","spain",39.92834,3.83228,"Apartment","Entire home/apt",4,2,3,67,5,1125,10,"2020-06-30",1340
"71",1231968,"Ciutadella de Menorca","menorca","spain",39.98473,3.83351,"Apartment","Entire home/apt",5,3,0,100,3,90,4,"2020-06-30",2600
"72",1241701,"Es Mercadal","menorca","spain",39.99728,4.15321,"House","Entire home/apt",6,3,3,360,4,30,0,"2020-06-30",10800
