"","id","neighbourhood_cleansed","city","country","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","date","revenue_30"
"1",32347,"San Vicente","sevilla","spain",37.39468,-6.00183,"Apartment","Entire home/apt",4,2,2,99,2,120,29,"2020-06-29",99
"2",49287,"Feria","sevilla","spain",37.39855,-5.99365,"Apartment","Entire home/apt",3,1,1,49,1,1125,24,"2020-06-29",294
"3",94187,"San Bartolomé","sevilla","spain",37.39012,-5.98676,"House","Private room",2,1,0,55,2,365,30,"2020-06-29",0
"4",108568,"Feria","sevilla","spain",37.39939,-5.99237,"Apartment","Entire home/apt",6,2,4,65,3,365,29,"2020-06-29",65
"5",116703,"Arenal","sevilla","spain",37.3868,-5.99666,"Apartment","Entire home/apt",4,1,2,65,3,365,23,"2020-06-29",455
"6",117278,"Arenal","sevilla","spain",37.38595,-5.997,"Apartment","Entire home/apt",4,1,3,60,3,365,30,"2020-06-29",0
"7",120619,"Santa Cruz","sevilla","spain",37.38814,-5.99399,"Apartment","Private room",2,1,2,35,1,30,30,"2020-06-29",0
"8",131987,"San Vicente","sevilla","spain",37.39455,-6.00094,"Apartment","Entire home/apt",4,1,2,69,4,365,30,"2020-06-29",0
"9",144918,"Triana Casco Antiguo","sevilla","spain",37.38222,-5.99989,"Apartment","Entire home/apt",4,1,2,46,2,90,29,"2020-06-29",46
"10",159596,"Arenal","sevilla","spain",37.38456,-5.99583,"Apartment","Entire home/apt",4,2,2,100,64,330,28,"2020-06-29",200
"11",179629,"Alfalfa","sevilla","spain",37.38948,-5.99238,"Apartment","Entire home/apt",5,3,4,115,3,365,15,"2020-06-29",1725
"12",185356,"Cruz Roja, Capuchinos","sevilla","spain",37.4011,-5.98396,"Apartment","Entire home/apt",7,3,7,110,3,365,3,"2020-06-29",2970
"13",201209,"Las Avenidas","sevilla","spain",37.41096,-5.98477,"Apartment","Entire home/apt",8,3,5,60,2,365,0,"2020-06-29",1800
"14",207702,"Museo","sevilla","spain",37.38945,-5.99889,"Apartment","Entire home/apt",2,1,1,77,3,30,0,"2020-06-29",2310
"15",217440,"Santa Cruz","sevilla","spain",37.3885,-5.99344,"Apartment","Private room",2,1,2,35,1,7,23,"2020-06-29",245
"16",219958,"Heliópolis","sevilla","spain",37.35385,-5.98488,"Guest suite","Entire home/apt",9,3,6,120,2,365,12,"2020-06-29",2160
"17",227905,"San Vicente","sevilla","spain",37.3948,-6.00121,"Apartment","Private room",1,1,1,30,1,30,29,"2020-06-29",30
"18",229403,"Feria","sevilla","spain",37.39913,-5.99088,"Apartment","Entire home/apt",2,1,1,52,365,365,30,"2020-06-29",0
"19",253430,"Alfalfa","sevilla","spain",37.39002,-5.99061,"Apartment","Entire home/apt",2,1,1,50,2,365,30,"2020-06-29",0
"20",266016,"San Bernardo","sevilla","spain",37.38081,-5.98592,"Loft","Entire home/apt",6,2,4,65,2,365,30,"2020-06-29",0
"21",272934,"Santa Cruz","sevilla","spain",37.38874,-5.99297,"Apartment","Entire home/apt",6,2,3,115,1,1125,0,"2020-06-29",3450
"22",273981,"Alfalfa","sevilla","spain",37.39006,-5.99521,"Apartment","Entire home/apt",6,2,3,115,1,1125,29,"2020-06-29",115
"23",288900,"El Cerro","sevilla","spain",37.37064,-5.95717,"Apartment","Entire home/apt",2,1,1,45,2,1125,30,"2020-06-29",0
"24",298673,"Encarnación, Regina","sevilla","spain",37.39362,-5.99065,"Apartment","Entire home/apt",4,1,2,61,2,14,26,"2020-06-29",244
"25",315971,"San Vicente","sevilla","spain",37.39493,-5.99899,"Tiny house","Private room",1,1,1,30,2,30,17,"2020-06-29",390
"26",321192,"an Roque","sevilla","spain",37.39236,-5.98361,"Apartment","Entire home/apt",6,2,4,75,2,365,29,"2020-06-29",75
"27",343997,"Santa Cruz","sevilla","spain",37.38894,-5.99274,"Apartment","Entire home/apt",3,1,1,65,3,250,26,"2020-06-29",260
"28",366257,"Triana Casco Antiguo","sevilla","spain",37.38657,-6.00551,"Loft","Entire home/apt",2,1,1,37,3,59,8,"2020-06-29",814
"29",369170,"Feria","sevilla","spain",37.39626,-5.99312,"Apartment","Entire home/apt",4,2,4,120,2,320,26,"2020-06-29",480
