"","id","neighbourhood_cleansed","city","country","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","date","revenue_30"
"1",4620,"LA MALVA-ROSA","valencia","spain",39.47553,-0.32461,"Townhouse","Entire home/apt",7,4,6,150,2,365,4,"2020-06-30",3900
"2",45528,"EL SALER","valencia","spain",39.3553,-0.32387,"Condominium","Entire home/apt",4,2,3,80,15,30,0,"2020-06-30",2400
"3",48154,"MORVEDRE","valencia","spain",39.48575,-0.37428,"Apartment","Entire home/apt",4,2,2,45,3,15,18,"2020-06-30",540
"4",55692,"LA SEU","valencia","spain",39.47681,-0.37523,"Apartment","Entire home/apt",3,1,1,100,1,730,1,"2020-06-30",2900
"5",95393,"EL CARME","valencia","spain",39.47787,-0.38142,"Apartment","Entire home/apt",6,3,6,134,1,14,26,"2020-06-30",536
"6",100347,"ARRANCAPINS","valencia","spain",39.45965,-0.38453,"Apartment","Entire home/apt",6,3,3,100,5,10,0,"2020-06-30",3000
"7",102524,"CABANYAL-CANYAMELAR","valencia","spain",39.47209,-0.33098,"House","Entire home/apt",16,5,16,400,3,1125,19,"2020-06-30",4400
"8",103386,"EL PILAR","valencia","spain",39.47591,-0.38243,"Serviced apartment","Entire home/apt",5,2,3,84,1,14,29,"2020-06-30",84
"9",121035,"SANT FRANCESC","valencia","spain",39.47156,-0.37603,"House","Private room",2,1,1,37,1,30,0,"2020-06-30",1110
"10",129331,"LA ROQUETA","valencia","spain",39.46848,-0.38074,"Apartment","Entire home/apt",2,1,1,55,5,150,26,"2020-06-30",220
"11",136378,"EL MERCAT","valencia","spain",39.47387,-0.3777,"Condominium","Entire home/apt",3,1,0,75,5,90,14,"2020-06-30",1200
"12",137737,"LA PETXINA","valencia","spain",39.46992,-0.39093,"Apartment","Entire home/apt",2,1,1,55,2,20,0,"2020-06-30",1650
"13",146771,"EN CORTS","valencia","spain",39.45624,-0.36809,"House","Private room",2,1,1,32,2,30,30,"2020-06-30",0
"14",147548,"MONT-OLIVET","valencia","spain",39.46195,-0.36063,"Apartment","Entire home/apt",11,4,9,280,2,330,27,"2020-06-30",840
"15",149715,"CABANYAL-CANYAMELAR","valencia","spain",39.46609,-0.32673,"House","Entire home/apt",10,6,7,215,3,30,15,"2020-06-30",3225
"16",152369,"EL CARME","valencia","spain",39.47863,-0.38219,"Loft","Entire home/apt",2,0,1,60,2,365,29,"2020-06-30",60
"17",153375,"MONT-OLIVET","valencia","spain",39.46031,-0.35974,"Apartment","Entire home/apt",2,1,2,20,180,1125,0,"2020-06-30",600
"18",165971,"LA ROQUETA","valencia","spain",39.4679,-0.38206,"Apartment","Entire home/apt",5,1,2,56,4,27,15,"2020-06-30",840
"19",166315,"EL MERCAT","valencia","spain",39.47237,-0.37965,"Apartment","Entire home/apt",4,1,4,80,5,90,20,"2020-06-30",800
"20",169284,"NOU MOLES","valencia","spain",39.46759,-0.39067,"Apartment","Entire home/apt",3,1,1,30,1,1125,4,"2020-06-30",780
"21",182221,"LA CREU DEL GRAU","valencia","spain",39.46167,-0.34249,"Apartment","Entire home/apt",6,2,5,90,1,1125,29,"2020-06-30",90
"22",185398,"LA PETXINA","valencia","spain",39.47398,-0.39155,"Apartment","Entire home/apt",8,3,8,59,1,1125,30,"2020-06-30",0
"23",191651,"BENICALAP","valencia","spain",39.49345,-0.3933,"Condominium","Entire home/apt",8,4,5,80,3,360,30,"2020-06-30",0
