"","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","country","city","date","revenue_30"
"1",4620,"LA MALVA-ROSA",39.47553,-0.32461,"Entire townhouse","Entire home/apt",7,4,6,121,2,365,20,"spain","valencia","2020-08-30",1210
"2",48154,"MORVEDRE",39.48575,-0.37428,"Entire apartment","Entire home/apt",4,2,2,51,3,15,30,"spain","valencia","2020-08-30",0
"3",55692,"LA SEU",39.47681,-0.37523,"Entire apartment","Entire home/apt",3,1,1,100,1,730,0,"spain","valencia","2020-08-30",3000
"4",95393,"EL CARME",39.47787,-0.38142,"Entire apartment","Entire home/apt",6,3,6,136.86,1,14,23,"spain","valencia","2020-08-30",958.02
"5",100347,"ARRANCAPINS",39.45965,-0.38453,"Entire apartment","Entire home/apt",6,3,3,104,5,10,0,"spain","valencia","2020-08-30",3120
"6",102524,"CABANYAL-CANYAMELAR",39.47209,-0.33098,"Entire house","Entire home/apt",16,5,16,393,1,1125,16,"spain","valencia","2020-08-30",5502
"7",103386,"EL PILAR",39.47591,-0.38243,"Entire serviced apartment","Entire home/apt",5,2,3,88,1,14,29,"spain","valencia","2020-08-30",88
"8",121035,"SANT FRANCESC",39.47156,-0.37603,"Private room in house","Private room",2,1,1,37,1,30,19,"spain","valencia","2020-08-30",407
"9",129331,"LA ROQUETA",39.46848,-0.38074,"Entire apartment","Entire home/apt",2,1,1,55,5,150,27,"spain","valencia","2020-08-30",165
"10",136378,"EL MERCAT",39.47387,-0.3777,"Entire condominium","Entire home/apt",3,1,0,75,5,90,8,"spain","valencia","2020-08-30",1650
"11",137737,"LA PETXINA",39.46992,-0.39093,"Entire apartment","Entire home/apt",2,1,1,55,2,20,29,"spain","valencia","2020-08-30",55
"12",146771,"EN CORTS",39.45624,-0.36809,"Private room in house","Private room",2,1,1,32,2,1125,18,"spain","valencia","2020-08-30",384
"13",147548,"MONT-OLIVET",39.46195,-0.36063,"Entire apartment","Entire home/apt",11,4,9,303,2,330,0,"spain","valencia","2020-08-30",9090
"14",149715,"CABANYAL-CANYAMELAR",39.46609,-0.32673,"Entire house","Entire home/apt",10,6,7,175,3,30,25,"spain","valencia","2020-08-30",875
"15",152369,"EL CARME",39.47863,-0.38219,"Entire loft","Entire home/apt",2,NA,1,59.71,2,365,0,"spain","valencia","2020-08-30",1791.3
"16",153375,"MONT-OLIVET",39.46031,-0.35974,"Entire apartment","Entire home/apt",2,1,2,20,180,1125,0,"spain","valencia","2020-08-30",600
"17",165971,"LA ROQUETA",39.4679,-0.38206,"Entire apartment","Entire home/apt",5,1,2,67,3,27,25,"spain","valencia","2020-08-30",335
"18",166315,"EL MERCAT",39.47237,-0.37965,"Entire apartment","Entire home/apt",4,1,4,80,5,90,0,"spain","valencia","2020-08-30",2400
"19",169284,"NOU MOLES",39.46759,-0.39067,"Entire apartment","Entire home/apt",3,1,1,36,1,1125,0,"spain","valencia","2020-08-30",1080
"20",182221,"LA CREU DEL GRAU",39.46167,-0.34249,"Entire apartment","Entire home/apt",6,2,5,100,1,1125,29,"spain","valencia","2020-08-30",100
"21",185398,"LA PETXINA",39.47398,-0.39155,"Entire apartment","Entire home/apt",8,3,8,120,2,1125,0,"spain","valencia","2020-08-30",3600
"22",191651,"BENICALAP",39.49345,-0.3933,"Entire condominium","Entire home/apt",8,4,5,80,3,360,30,"spain","valencia","2020-08-30",0
"23",192674,"EL CARME",39.48034,-0.37912,"Entire apartment","Entire home/apt",5,2,3,96,3,365,30,"spain","valencia","2020-08-30",0
"24",193326,"CABANYAL-CANYAMELAR",39.47294,-0.32912,"Private room in apartment","Private room",2,1,2,34,1,1125,30,"spain","valencia","2020-08-30",0
"25",222753,"EN CORTS",39.4578,-0.36927,"Private room in house","Private room",3,2,2,31,2,365,18,"spain","valencia","2020-08-30",372
"26",225070,"CABANYAL-CANYAMELAR",39.47152,-0.32993,"Private room in apartment","Private room",2,1,3,30,1,365,29,"spain","valencia","2020-08-30",30
"27",231347,"EL MERCAT",39.47281,-0.37767,"Entire apartment","Entire home/apt",6,2,3,97,1,1125,22,"spain","valencia","2020-08-30",776
"28",231367,"MONT-OLIVET",39.45747,-0.36805,"Entire apartment","Entire home/apt",2,1,1,79,1,1125,0,"spain","valencia","2020-08-30",2370
"29",247994,"LA MALVA-ROSA",39.48082,-0.32889,"Entire condominium","Entire home/apt",5,2,4,65,3,364,0,"spain","valencia","2020-08-30",1950
"30",250981,"LA CREU DEL GRAU",39.46271,-0.34266,"Entire apartment","Entire home/apt",6,2,3,102,3,365,29,"spain","valencia","2020-08-30",102
"31",252608,"LA SEU",39.47499,-0.3751,"Entire condominium","Entire home/apt",4,1,2,80,6,1125,0,"spain","valencia","2020-08-30",2400
"32",260929,"EXPOSICIO",39.47686,-0.36422,"Private room in apartment","Private room",2,1,1,45,3,7,29,"spain","valencia","2020-08-30",45
"33",260935,"EXPOSICIO",39.47663,-0.36315,"Private room in apartment","Private room",2,1,1,36,2,21,29,"spain","valencia","2020-08-30",36
"34",265340,"RUSSAFA",39.46255,-0.37454,"Entire loft","Entire home/apt",2,1,1,85,2,180,30,"spain","valencia","2020-08-30",0
"35",273373,"LA MALVA-ROSA",39.48183,-0.32578,"Entire townhouse","Entire home/apt",14,4,14,400,3,365,0,"spain","valencia","2020-08-30",12000
"36",276455,"LA CARRASCA",39.47273,-0.33993,"Private room in apartment","Private room",1,1,1,38,2,14,30,"spain","valencia","2020-08-30",0
"37",288057,"MORVEDRE",39.48441,-0.37405,"Entire apartment","Entire home/apt",3,1,1,65,3,170,0,"spain","valencia","2020-08-30",1950
"38",308525,"EL BOTANIC",39.47469,-0.38608,"Entire loft","Entire home/apt",3,1,2,62,4,365,0,"spain","valencia","2020-08-30",1860
"39",313137,"RUSSAFA",39.46332,-0.37462,"Entire apartment","Entire home/apt",4,2,2,53,3,365,29,"spain","valencia","2020-08-30",53
"40",338751,"EL PILAR",39.47498,-0.38302,"Entire apartment","Entire home/apt",4,2,3,57,2,90,29,"spain","valencia","2020-08-30",57
"41",342806,"EL MERCAT",39.47528,-0.3774,"Private room in apartment","Private room",3,1,2,34,2,45,29,"spain","valencia","2020-08-30",34
"42",345690,"LA MALVA-ROSA",39.48054,-0.32525,"Private room in bed and breakfast","Private room",3,1,1,200,1,1125,30,"spain","valencia","2020-08-30",0
"43",345709,"EL CARME",39.47863,-0.38141,"Entire apartment","Entire home/apt",3,1,3,50,10,365,9,"spain","valencia","2020-08-30",1050
"44",346695,"EL CARME",39.47911,-0.37716,"Entire apartment","Entire home/apt",4,2,2,49,2,365,24,"spain","valencia","2020-08-30",294
"45",349904,"EL CARME",39.4787,-0.38099,"Entire loft","Entire home/apt",4,2,2,90,3,365,30,"spain","valencia","2020-08-30",0
"46",354807,"SANT FRANCESC",39.4708,-0.37962,"Entire apartment","Entire home/apt",5,2,4,NA,1,1125,30,"spain","valencia","2020-08-30",0
"47",359710,"LA CREU DEL GRAU",39.46056,-0.3421,"Entire apartment","Entire home/apt",4,2,2,53,3,180,0,"spain","valencia","2020-08-30",1590
"48",361016,"ARRANCAPINS",39.46241,-0.38445,"Entire apartment","Entire home/apt",6,3,5,72,2,1125,0,"spain","valencia","2020-08-30",2160
"49",364517,"CIUTAT DE LES ARTS I DE LES CIENCIES",39.45496,-0.3588,"Private room in apartment","Private room",2,1,2,40,2,10,0,"spain","valencia","2020-08-30",1200
"50",364906,"MARXALENES",39.48522,-0.38525,"Entire apartment","Entire home/apt",4,3,3,66,6,1125,30,"spain","valencia","2020-08-30",0
"51",377455,"RUSSAFA",39.46357,-0.37417,"Entire loft","Entire home/apt",3,1,3,46,3,330,0,"spain","valencia","2020-08-30",1380
"52",379870,"SANT FRANCESC",39.47146,-0.37729,"Entire apartment","Entire home/apt",2,1,2,120,3,330,6,"spain","valencia","2020-08-30",2880
